County,CountyName,StateName,bush,gore,nader,browne,other
01001,Autauga County,Alabama,11993,4942,160,51,5
01003,Baldwin County,Alabama,40872,13997,1033,226,5
01005,Barbour County,Alabama,5096,5188,46,27,5
01007,Bibb County,Alabama,4273,2710,52,20,5
01009,Blount County,Alabama,12667,4977,154,51,5
01011,Bullock County,Alabama,1433,3395,24,34,5
01013,Butler County,Alabama,4127,3606,36,19,5
01015,Calhoun County,Alabama,22306,15781,481,149,5
01017,Chambers County,Alabama,6037,5616,95,38,5
01019,Cherokee County,Alabama,4154,3497,77,27,5
01021,Chilton County,Alabama,10066,4806,92,53,5
01023,Choctaw County,Alabama,3600,3707,33,8,5
01025,Clarke County,Alabama,5988,4679,33,16,5
01027,Clay County,Alabama,3719,2045,52,32,5
01029,Cleburne County,Alabama,3333,1664,39,21,5
01031,Coffee County,Alabama,9938,5220,155,40,5
01033,Colbert County,Alabama,10518,10543,208,38,5
01035,Conecuh County,Alabama,2699,2783,35,6,5
01037,Coosa County,Alabama,2382,2104,34,23,5
01039,Covington County,Alabama,8961,4440,123,32,5
01041,Crenshaw County,Alabama,2793,1934,40,9,5
01043,Cullman County,Alabama,19157,9758,282,59,5
01045,Dale County,Alabama,10593,4906,188,27,5
01047,Dallas County,Alabama,7360,10967,63,38,5
01049,DeKalb County,Alabama,12827,7056,175,124,5
01051,Elmore County,Alabama,16777,6652,212,87,5
01053,Escambia County,Alabama,6975,4523,78,13,5
01055,Etowah County,Alabama,21087,17433,435,117,5
01057,Fayette County,Alabama,4582,3064,60,21,5
01059,Franklin County,Alabama,6119,4793,72,17,5
01061,Geneva County,Alabama,6588,2769,97,38,5
01063,Greene County,Alabama,850,3504,24,8,5
01065,Hale County,Alabama,2984,4652,43,17,5
01067,Henry County,Alabama,4054,2782,48,18,5
01069,Houston County,Alabama,22150,9412,257,88,5
01071,Jackson County,Alabama,8475,9066,184,48,5
01073,Jefferson County,Alabama,138491,129889,3393,987,5
01075,Lamar County,Alabama,4470,2653,57,6,5
01077,Lauderdale County,Alabama,17478,13875,354,78,5
01079,Lawrence County,Alabama,5671,6296,63,22,5
01081,Lee County,Alabama,22433,14574,895,233,5
01083,Limestone County,Alabama,14204,8992,193,78,5
01085,Lowndes County,Alabama,1638,4557,18,11,5
01087,Macon County,Alabama,1091,7665,31,20,5
01089,Madison County,Alabama,62151,48199,1885,567,5
01091,Marengo County,Alabama,4690,4841,40,12,5
01093,Marion County,Alabama,6910,4600,125,25,5
01095,Marshall County,Alabama,17084,10381,256,82,5
01097,Mobile County,Alabama,78162,58640,1585,727,5
01099,Monroe County,Alabama,5153,3741,25,11,5
01101,Montgomery County,Alabama,38827,40371,677,293,5
01103,Morgan County,Alabama,25774,16060,450,118,5
01105,Perry County,Alabama,1732,4020,18,7,5
01107,Pickens County,Alabama,4306,4143,39,20,5
01109,Pike County,Alabama,6058,4357,75,27,5
01111,Randolph County,Alabama,4666,3094,60,39,5
01113,Russell County,Alabama,6198,8396,109,30,5
01115,Saint Clair County,Alabama,17117,6485,221,87,5
01117,Shelby County,Alabama,47651,13183,812,281,5
01119,Sumter County,Alabama,1629,4415,20,10,5
01121,Talladega County,Alabama,13807,11264,184,75,5
