County,CountyName,StateName,bush,kerry,other
01001,Autauga County,Alabama,15196,4758,127
01003,Baldwin County,Alabama,52971,15599,750
01005,Barbour County,Alabama,5899,4832,46
01007,Bibb County,Alabama,5472,2089,39
01009,Blount County,Alabama,17386,3938,180
01011,Bullock County,Alabama,1494,3210,13
01013,Butler County,Alabama,4979,3413,24
01015,Calhoun County,Alabama,29814,15083,352
01017,Chambers County,Alabama,7622,5347,63
01019,Cherokee County,Alabama,5923,3040,86
01021,Chilton County,Alabama,12829,3778,86
01023,Choctaw County,Alabama,3897,3303,27
01025,Clarke County,Alabama,6730,4627,37
01027,Clay County,Alabama,4624,1893,59
01029,Cleburne County,Alabama,4370,1391,37
01031,Coffee County,Alabama,13019,4480,117
01033,Colbert County,Alabama,13188,10598,149
01035,Conecuh County,Alabama,3271,2719,31
01037,Coosa County,Alabama,2905,2055,41
01039,Covington County,Alabama,11119,3423,85
01041,Crenshaw County,Alabama,3777,1698,25
01043,Cullman County,Alabama,26818,8045,328
01045,Dale County,Alabama,13621,4484,126
01047,Dallas County,Alabama,7335,11175,63
01049,DeKalb County,Alabama,16904,7092,139
01051,Elmore County,Alabama,22056,6471,153
01053,Escambia County,Alabama,8513,3814,68
01055,Etowah County,Alabama,26999,15328,353
01057,Fayette County,Alabama,5534,2408,60
01059,Franklin County,Alabama,7690,4514,65
01061,Geneva County,Alabama,8342,2113,65
01063,Greene County,Alabama,958,3764,26
01065,Hale County,Alabama,3281,4631,33
01067,Henry County,Alabama,4881,2452,28
01069,Houston County,Alabama,26874,9144,183
01071,Jackson County,Alabama,11534,8635,152
01073,Jefferson County,Alabama,158680,132286,2001
01075,Lamar County,Alabama,4894,1956,35
01077,Lauderdale County,Alabama,22161,14628,318
01079,Lawrence County,Alabama,7730,6155,116
01081,Lee County,Alabama,27972,16227,411
01083,Limestone County,Alabama,19702,9126,245
01085,Lowndes County,Alabama,1786,4233,2
01087,Macon County,Alabama,1570,7800,37
01089,Madison County,Alabama,77173,52644,1245
01091,Marengo County,Alabama,5255,5037,30
01093,Marion County,Alabama,8983,3808,84
01095,Marshall County,Alabama,22783,8452,256
01097,Mobile County,Alabama,92014,63732,1025
01099,Monroe County,Alabama,5831,3666,37
01101,Montgomery County,Alabama,44097,45160,393
01103,Morgan County,Alabama,32477,14131,399
01105,Perry County,Alabama,1738,3767,18
01107,Pickens County,Alabama,5170,3915,47
01109,Pike County,Alabama,7483,4334,66
01111,Randolph County,Alabama,6127,2817,57
01113,Russell County,Alabama,8337,8375,97
01115,Saint Clair County,Alabama,23500,5456,205
01117,Shelby County,Alabama,63435,14850,621
01119,Sumter County,Alabama,1880,4527,26
01121,Talladega County,Alabama,18331,11374,193
01123,Tallapoosa County,Alabama,12392,5451,109
01125,Tuscaloosa County,Alabama,42877,26447,506
01127,Walker County,Alabama,19167,9016,184
01129,Washington County,Alabama,5060,3145,42
01131,Wilcox County,Alabama,1834,3838,10
01133,Winston County,Alabama,8130,2236,57
04001,Apache County,Arizona,8384,15658,156
04003,Cochise County,Arizona,26556,17514,413
04005,Coconino County,Arizona,22526,29243,498
04007,Gila County,Arizona,12343,8314,186
04009,Graham County,Arizona,7467,3185,68
04011,Greenlee County,Arizona,1899,1146,22
04012,La Paz County,Arizona,3158,1849,48
04013,Maricopa County,Arizona,679455,504849,8447
04015,Mohave County,Arizona,36794,20503,510
04017,Navajo County,Arizona,17277,14815,251
04019,Pima County,Arizona,171277,193128,2670
04021,Pinal County,Arizona,37006,27252,364
04023,Santa Cruz County,Arizona,4668,6909,91
04025,Yavapai County,Arizona,53468,33127,794
04027,Yuma County,Arizona,22184,16032,249
05001,Arkansas County,Arkansas,3789,3110,47
05003,Ashley County,Arkansas,4567,3881,64
05005,Baxter County,Arkansas,11128,7129,273
05007,Benton County,Arkansas,46571,20756,794
05009,Boone County,Arkansas,9793,4640,344
05011,Bradley County,Arkansas,2011,2206,32
05013,Calhoun County,Arkansas,1340,939,20
05015,Carroll County,Arkansas,6184,4161,136
05017,Chicot County,Arkansas,1725,2993,39
05019,Clark County,Arkansas,4144,4990,77
05021,Clay County,Arkansas,2759,3264,73
05023,Cleburne County,Arkansas,7107,4517,137
05025,Cleveland County,Arkansas,2009,1450,37
05027,Columbia County,Arkansas,5729,4108,72
05029,Conway County,Arkansas,4009,3982,93
05031,Craighead County,Arkansas,15818,13665,318
05033,Crawford County,Arkansas,13391,6764,246
05035,Crittenden County,Arkansas,6930,8277,93
05037,Cross County,Arkansas,3864,3135,75
05039,Dallas County,Arkansas,1700,1671,17
05041,Desha County,Arkansas,1729,2851,67
05043,Drew County,Arkansas,3262,2952,35
05045,Faulkner County,Arkansas,21514,14538,634
05047,Franklin County,Arkansas,4181,3008,100
05049,Fulton County,Arkansas,2522,2370,63
05051,Garland County,Arkansas,21734,18040,380
05053,Grant County,Arkansas,4205,2524,41
05055,Greene County,Arkansas,7237,6564,154
05057,Hempstead County,Arkansas,3580,3817,55
05059,Hot Spring County,Arkansas,5960,5901,204
05061,Howard County,Arkansas,2736,2166,41
05063,Independence County,Arkansas,7430,5443,138
05065,Izard County,Arkansas,2833,2586,74
05067,Jackson County,Arkansas,2624,3515,80
05069,Jefferson County,Arkansas,10218,19675,600
05071,Johnson County,Arkansas,4311,3622,111
05073,Lafayette County,Arkansas,1604,1567,20
05075,Lawrence County,Arkansas,2951,3544,120
05077,Lee County,Arkansas,1492,2548,40
05079,Lincoln County,Arkansas,1921,2149,39
05081,Little River County,Arkansas,2575,2677,42
05083,Logan County,Arkansas,5076,3361,114
05085,Lonoke County,Arkansas,14398,7454,178
05087,Madison County,Arkansas,3873,2421,90
05089,Marion County,Arkansas,4127,2602,138
05091,Miller County,Arkansas,8448,6139,91
05093,Mississippi County,Arkansas,6121,7593,439
05095,Monroe County,Arkansas,1586,2049,32
05097,Montgomery County,Arkansas,2367,1524,67
05099,Nevada County,Arkansas,1752,1694,31
05101,Newton County,Arkansas,2779,1506,93
05103,Ouachita County,Arkansas,5345,5188,117
05105,Perry County,Arkansas,2435,1921,75
05107,Phillips County,Arkansas,3161,5642,65
05109,Pike County,Arkansas,2013,1310,44
05111,Poinsett County,Arkansas,3555,4069,99
05113,Polk County,Arkansas,5192,2473,134
05115,Pope County,Arkansas,13614,7100,188
05117,Prairie County,Arkansas,2030,1562,32
05119,Pulaski County,Arkansas,67903,84532,1185
05121,Randolph County,Arkansas,3158,3412,97
05123,Saint Francis County,Arkansas,3815,5684,89
05125,Saline County,Arkansas,24864,14153,359
05127,Scott County,Arkansas,2514,1473,51
05129,Searcy County,Arkansas,2565,1370,57
05131,Sebastian County,Arkansas,27303,16479,429
05133,Sevier County,Arkansas,2516,2035,50
05135,Sharp County,Arkansas,4097,3265,108
05137,Stone County,Arkansas,3188,2255,106
05139,Union County,Arkansas,10502,7071,259
05141,Van Buren County,Arkansas,3988,3310,76
05143,Washington County,Arkansas,35726,27597,780
05145,White County,Arkansas,17001,9129,295
05147,Woodruff County,Arkansas,1021,1972,33
05149,Yell County,Arkansas,3678,2913,68
06001,Alameda County,California,130911,422585,8594
06003,Alpine County,California,311,373,17
06005,Amador County,California,11107,6541,243
06007,Butte County,California,51662,42448,2047
06009,Calaveras County,California,13601,8286,456
06011,Colusa County,California,4142,1947,77
06013,Contra Costa County,California,150608,257254,5166
06015,Del Norte County,California,5356,3892,173
06017,El Dorado County,California,52878,32242,1244
06019,Fresno County,California,141988,103154,2321
06021,Glenn County,California,6308,2995,151
06023,Humboldt County,California,25714,37988,2184
06025,Imperial County,California,15890,17964,420
06027,Inyo County,California,5091,3350,175
06029,Kern County,California,140417,68603,2154
06031,Kings County,California,21003,10833,274
06033,Lake County,California,11093,13141,485
06035,Lassen County,California,8126,3158,166
06037,Los Angeles County,California,1076225,1907736,39319
06039,Madera County,California,24871,13481,498
06041,Marin County,California,34378,99070,1877
06043,Mariposa County,California,5215,3251,192
06045,Mendocino County,California,12955,24385,1089
06047,Merced County,California,32773,24491,696
06049,Modoc County,California,3235,1149,83
06051,Mono County,California,2621,2628,89
06053,Monterey County,California,47838,75241,1574
06055,Napa County,California,22059,33666,874
06057,Nevada County,California,28790,24220,910
06059,Orange County,California,641832,419239,14328
06061,Placer County,California,95969,55573,1736
06063,Plumas County,California,6905,4129,156
06065,Riverside County,California,322473,228806,6300
06067,Sacramento County,California,235539,236657,5670
06069,San Benito County,California,8698,9851,176
06071,San Bernardino County,California,289306,227789,5682
06073,San Diego County,California,596033,526437,13874
06075,San Francisco County,California,54355,296772,4357
06077,San Joaquin County,California,100978,87012,1874
06079,San Luis Obispo County,California,67995,58742,2313
06081,San Mateo County,California,83315,197922,3620
06083,Santa Barbara County,California,76806,90314,2741
06085,Santa Clara County,California,209094,386100,8622
06087,Santa Cruz County,California,30354,89102,2628
06089,Shasta County,California,52249,24339,1143
06091,Sierra County,California,1249,646,53
06093,Siskiyou County,California,12673,7880,346
06095,Solano County,California,62301,85096,1440
06097,Sonoma County,California,68204,148261,4225
06099,Stanislaus County,California,85407,58829,1388
06101,Sutter County,California,20254,9602,289
06103,Tehama County,California,15572,7504,368
06105,Trinity County,California,3560,2782,171
06107,Tulare County,California,65399,32494,967
06109,Tuolumne County,California,15745,10104,386
06111,Ventura County,California,160314,148859,4020
06113,Yolo County,California,28005,42885,1379
06115,Yuba County,California,12076,5687,261
08001,Adams County,Colorado,65912,69122,1643
08003,Alamosa County,Colorado,3179,3017,83
08005,Arapahoe County,Colorado,119475,110262,2628
08007,Archuleta County,Colorado,3601,2141,97
08009,Baca County,Colorado,1680,483,23
08011,Bent County,Colorado,1338,785,32
08013,Boulder County,Colorado,51586,105564,2109
08014,Broomfield County,Colorado,12007,10935,293
08015,Chaffee County,Colorado,4875,3766,129
08017,Cheyenne County,Colorado,923,198,13
08019,Clear Creek County,Colorado,2522,2989,102
08021,Conejos County,Colorado,1864,1894,45
08023,Costilla County,Colorado,566,1170,24
08025,Crowley County,Colorado,1006,478,9
08027,Custer County,Colorado,1657,739,32
08029,Delta County,Colorado,9722,4224,213
08031,Denver County,Colorado,69903,166135,2788
08033,Dolores County,Colorado,785,333,29
08035,Douglas County,Colorado,80651,39661,889
08037,Eagle County,Colorado,8533,9744,234
08039,Elbert County,Colorado,8389,2834,141
08041,El Paso County,Colorado,161361,77648,2779
08043,Fremont County,Colorado,12313,5933,280
08045,Garfield County,Colorado,11123,9228,296
08047,Gilpin County,Colorado,1329,1807,60
08049,Grand County,Colorado,4260,3243,106
08051,Gunnison County,Colorado,3479,4782,159
08053,Hinsdale County,Colorado,355,236,11
08055,Huerfano County,Colorado,1701,1656,39
08057,Jackson County,Colorado,710,210,14
08059,Jefferson County,Colorado,140644,126558,4366
08061,Kiowa County,Colorado,712,172,8
08063,Kit Carson County,Colorado,2721,729,52
08065,Lake County,Colorado,1261,1623,65
08067,La Plata County,Colorado,11704,13409,400
08069,Larimer County,Colorado,75884,68266,2286
08071,Las Animas County,Colorado,3196,3300,96
08073,Lincoln County,Colorado,1819,503,15
08075,Logan County,Colorado,6168,2491,107
08077,Mesa County,Colorado,41539,19564,782
08079,Mineral County,Colorado,383,227,9
08081,Moffat County,Colorado,4247,1335,123
08083,Montezuma County,Colorado,6988,3867,160
08085,Montrose County,Colorado,11218,4776,225
08087,Morgan County,Colorado,6787,3039,110
08089,Otero County,Colorado,4947,3164,69
08091,Ouray County,Colorado,1402,1278,41
08093,Park County,Colorado,4781,3445,131
08095,Phillips County,Colorado,1717,582,26
08097,Pitkin County,Colorado,2784,6335,137
08099,Prowers County,Colorado,3392,1308,45
