County,CountyName,StateName,mccain,obama,other
01001,Autauga County,Alabama,17403,6093,145
01003,Baldwin County,Alabama,61271,19386,756
01005,Barbour County,Alabama,5866,5697,67
01007,Bibb County,Alabama,6262,2299,83
01009,Blount County,Alabama,20389,3522,356
01011,Bullock County,Alabama,1391,4011,13
01013,Butler County,Alabama,5485,4188,36
01015,Calhoun County,Alabama,32348,16334,560
01017,Chambers County,Alabama,8067,6799,90
01019,Cherokee County,Alabama,7298,2306,141
01021,Chilton County,Alabama,13960,3674,151
01023,Choctaw County,Alabama,4223,3636,35
01025,Clarke County,Alabama,7466,5914,55
01027,Clay County,Alabama,4984,1760,75
01029,Cleburne County,Alabama,5216,1168,108
01031,Coffee County,Alabama,14919,5079,130
01033,Colbert County,Alabama,14739,9703,401
01035,Conecuh County,Alabama,3470,3429,44
01037,Coosa County,Alabama,3248,2273,42
01039,Covington County,Alabama,12444,3240,103
01041,Crenshaw County,Alabama,4319,1938,34
01043,Cullman County,Alabama,28896,5864,545
01045,Dale County,Alabama,13886,5270,164
01047,Dallas County,Alabama,6798,13986,68
01049,DeKalb County,Alabama,17957,5658,400
01051,Elmore County,Alabama,25777,8301,237
01053,Escambia County,Alabama,9375,5188,111
01055,Etowah County,Alabama,30595,13497,645
01057,Fayette County,Alabama,5883,1994,80
01059,Franklin County,Alabama,8048,3469,176
01061,Geneva County,Alabama,9417,2134,106
01063,Greene County,Alabama,876,4408,21
01065,Hale County,Alabama,3200,4982,32
01067,Henry County,Alabama,5585,3018,45
01069,Houston County,Alabama,29254,12225,256
01071,Jackson County,Alabama,14083,6374,417
01073,Jefferson County,Alabama,149921,166121,2482
01075,Lamar County,Alabama,5419,1614,42
01077,Lauderdale County,Alabama,24068,13329,707
01079,Lawrence County,Alabama,9277,5164,239
01081,Lee County,Alabama,32230,21498,597
01083,Limestone County,Alabama,23598,9536,417
01085,Lowndes County,Alabama,1809,5449,20
01087,Macon County,Alabama,1396,9450,31
01089,Madison County,Alabama,86965,64117,1817
01091,Marengo County,Alabama,5516,5926,29
01093,Marion County,Alabama,9536,2600,219
01095,Marshall County,Alabama,25727,7038,401
01097,Mobile County,Alabama,98049,82181,1194
