County,CountyName,StateName,romney,obama,johnson,stein,other
1001,Autauga,Alabama,17379,6363,137,22,36
1003,Baldwin,Alabama,66016,18424,607,169,137.5
1005,Barbour,Alabama,5550,5912,32,6,8.5
1007,Bibb,Alabama,6132,2202,38,9,19.5
1009,Blount,Alabama,20757,2970,170,50,56.5
1011,Bullock,Alabama,1251,4061,3,3,4
1013,Butler,Alabama,5087,4374,20,6,7.5
1015,Calhoun,Alabama,30278,15511,291,92,96
1017,Chambers,Alabama,7626,6871,78,15,19.5
1019,Cherokee,Alabama,7506,2132,79,26,24.5
1021,Chilton,Alabama,13932,3397,66,38,26
1023,Choctaw,Alabama,4152,3786,19,7,6
1025,Clarke,Alabama,7470,6334,22,14,10
1027,Clay,Alabama,4817,1777,42,16,13.5
1029,Cleburne,Alabama,5272,971,37,11,14
1031,Coffee,Alabama,14666,4925,111,33,43
1033,Colbert,Alabama,13936,9166,201,36,52.5
1035,Conecuh,Alabama,3439,3555,15,9,3.5
1037,Coosa,Alabama,3049,2191,19,8,7.5
1039,Covington,Alabama,12153,3158,66,20,21
1041,Crenshaw,Alabama,4331,2050,21,8,7
1043,Cullman,Alabama,28999,5052,223,89,96
1045,Dale,Alabama,13108,5286,101,27,39.5
1047,Dallas,Alabama,6288,14612,34,10,10
1049,DeKalb,Alabama,18331,5239,161,63,78
1051,Elmore,Alabama,26253,8954,191,34,57
1053,Escambia,Alabama,9287,5489,55,18,22.5
1055,Etowah,Alabama,29130,12803,395,100,98
1057,Fayette,Alabama,6054,1817,43,8,18
1059,Franklin,Alabama,7567,3171,69,22,26
1061,Geneva,Alabama,9175,2039,63,15,19.5
1063,Greene,Alabama,804,4521,8,2,4
1065,Hale,Alabama,3210,5411,13,6,3.5
1067,Henry,Alabama,5628,3083,33,7,7.5
1069,Houston,Alabama,29270,12367,210,31,53
1071,Jackson,Alabama,14439,5822,189,62,60
1073,Jefferson,Alabama,141683,159876,1637,438,444.5
1075,Lamar,Alabama,5457,1646,34,9,15
1077,Lauderdale,Alabama,23911,12511,293,106,105.5
1079,Lawrence,Alabama,8874,5069,107,30,34
1081,Lee,Alabama,32194,21381,604,98,109.5
1083,Limestone,Alabama,25295,9829,218,54,72
1085,Lowndes,Alabama,1756,5747,15,1,2
1087,Macon,Alabama,1331,9045,14,3,1.5
1089,Madison,Alabama,90884,62015,1531,381,308.5
1091,Marengo,Alabama,5336,6167,15,9,8
1093,Marion,Alabama,9697,2249,97,28,29
1095,Marshall,Alabama,25867,6299,228,94,78
1097,Mobile,Alabama,94893,78760,822,251,207
1099,Monroe,Alabama,5741,4914,28,13,10.5
1101,Montgomery,Alabama,38332,63085,339,100,105.5
1103,Morgan,Alabama,35391,13439,321,88,110
1105,Perry,Alabama,1506,4568,15,8,2
1107,Pickens,Alabama,5124,4455,16,5,10.5
1109,Pike,Alabama,7963,6035,76,18,15.5
1111,Randolph,Alabama,7224,3078,55,22,21
1113,Russell,Alabama,8278,10500,62,17,26.5
1115,St. Clair,Alabama,29031,5801,201,56,73
1117,Shelby,Alabama,71436,20051,725,171,179.5
1119,Sumter,Alabama,1586,5421,18,2,1.5
1121,Talladega,Alabama,19246,13905,127,44,47
1123,Tallapoosa,Alabama,12396,6319,69,25,21
1125,Tuscaloosa,Alabama,45748,32048,553,130,146.5
1127,Walker,Alabama,21651,6557,165,69,71.5
1129,Washington,Alabama,5761,2976,22,9,9.5
1131,Wilcox,Alabama,1679,4868,2,1,2.5
1133,Winston,Alabama,8312,1286,57,25,24
5001,Arkansas,Arkansas,3897,2455,92,45,5
5003,Ashley,Arkansas,4867,2859,105,59,31
