County,CountyName,StateName,trump,clinton,johnson,stein,other
01001,Autauga,Alabama,18172,5936,546,105,214
01003,Baldwin,Alabama,72883,18458,2464,456,954
01005,Barbour,Alabama,5454,4871,93,18,33
01007,Bibb,Alabama,6738,1874,124,17,66
01009,Blount,Alabama,22859,2156,338,89,146
01011,Bullock,Alabama,1140,3530,22,10,8
01013,Butler,Alabama,4901,3726,65,13,27
01015,Calhoun,Alabama,32865,13242,1116,262,379
01017,Chambers,Alabama,7843,5784,168,44,61
01019,Cherokee,Alabama,8953,1547,147,26,60
01021,Chilton,Alabama,15081,2911,228,52,97
01023,Choctaw,Alabama,4106,3109,52,6,19
01025,Clarke,Alabama,7140,5749,99,17,26
01027,Clay,Alabama,5245,1237,93,16,33
01029,Cleburne,Alabama,5764,684,90,20,35
01031,Coffee,Alabama,15875,4221,396,104,171
01033,Colbert,Alabama,16746,7312,511,107,239
01035,Conecuh,Alabama,3420,3080,51,10,24
01037,Coosa,Alabama,3381,1782,53,14,22
01039,Covington,Alabama,13267,2387,183,36,67
01041,Crenshaw,Alabama,4513,1664,65,14,11
01043,Cullman,Alabama,32989,3798,687,134,265
01045,Dale,Alabama,13808,4413,350,62,116
01047,Dallas,Alabama,5789,12836,96,24,47
01049,DeKalb,Alabama,21405,3622,458,152,189
01051,Elmore,Alabama,27634,8443,738,112,333
01053,Escambia,Alabama,9935,4605,188,37,80
01055,Etowah,Alabama,32353,10442,835,164,370
01057,Fayette,Alabama,6712,1362,109,24,42
01059,Franklin,Alabama,9466,2197,238,54,85
01061,Geneva,Alabama,9994,1525,149,24,66
01063,Greene,Alabama,838,4013,13,5,11
01065,Hale,Alabama,3173,4775,54,12,26
01067,Henry,Alabama,5632,2292,91,17,40
01069,Houston,Alabama,30728,10664,779,144,324
01071,Jackson,Alabama,16672,3673,393,90,156
01073,Jefferson,Alabama,134768,156873,6645,1554,4351
01075,Lamar,Alabama,5823,1036,62,15,30
01077,Lauderdale,Alabama,27899,9952,987,222,465
01079,Lawrence,Alabama,10833,3627,250,31,88
01081,Lee,Alabama,34617,21230,2030,364,950
01083,Limestone,Alabama,29067,9468,1055,202,502
01085,Lowndes,Alabama,1751,4883,32,11,7
01087,Macon,Alabama,1431,7566,69,49,25
01089,Madison,Alabama,89520,62822,6621,1254,3172
01091,Marengo,Alabama,5233,5615,104,13,29
01093,Marion,Alabama,11274,1432,181,26,71
01095,Marshall,Alabama,29233,4917,678,158,330
01097,Mobile,Alabama,95116,72186,3291,791,1353
01099,Monroe,Alabama,5795,4332,88,17,39
01101,Montgomery,Alabama,34003,58916,1486,490,983
01103,Morgan,Alabama,37486,11254,1168,218,518
01105,Perry,Alabama,1407,3824,23,6,18
01107,Pickens,Alabama,5456,3972,49,19,46
01109,Pike,Alabama,7693,5056,257,48,114
01111,Randolph,Alabama,7705,2291,124,19,48
01113,Russell,Alabama,9210,9579,281,68,118
01115,St. Clair,Alabama,31651,5589,684,130,346
01117,Shelby,Alabama,73020,22977,2965,480,1812
01119,Sumter,Alabama,1581,4746,57,14,13
01121,Talladega,Alabama,20614,12121,411,106,155
01123,Tallapoosa,Alabama,13594,5519,233,52,88
01125,Tuscaloosa,Alabama,47723,31762,1873,390,952
01127,Walker,Alabama,24266,4497,455,95,159
01129,Washington,Alabama,6042,2374,73,22,22
01131,Wilcox,Alabama,1742,4339,22,7,13
01133,Winston,Alabama,9228,872,131,29,53
02013,Aleutians East,Alaska,268,194,29,10,18
02016,Aleutians West,Alaska,417,656,49,18,23
02020,Anchorage,Alaska,61080,53967,9061,1981,1464
02050,Bethel,Alaska,1098,2680,254,259,316
02060,Bristol Bay,Alaska,241,162,29,6,11
02068,Denali,Alaska,606,370,60,21,18
02070,Dillingham,Alaska,673,956,111,39,51
02090,Fairbanks North Star,Alaska,21899,13635,2636,800,586
02100,Haines,Alaska,565,844,67,71,34
02105,Hoonah-Angoon,Alaska,776,1407,150,68,55
02110,Juneau,Alaska,5497,7911,912,390,214
02122,Kenai Peninsula,Alaska,18294,7521,1483,523,376
02130,Ketchikan Gateway,Alaska,3430,1992,476,127,88
02150,Kodiak Island,Alaska,2992,2020,397,125,89
02158,Kusilvak,Alaska,415,1180,85,41,157
02164,Lake and Peninsula,Alaska,176,204,44,13,28
02170,Matanuska-Susitna,Alaska,31639,8604,8146,569,624
02180,Nome,Alaska,867,1638,174,56,173
02185,North Slope,Alaska,777,1098,96,50,141
02188,Northwest Arctic,Alaska,570,1134,107,38,152
02195,Petersburg,Alaska,862,621,89,56,27
02198,Prince of Wales-Hyder,Alaska,1305,1092,140,93,108
02220,Sitka,Alaska,1888,2009,210,128,78
02230,Skagway,Alaska,226,463,52,33,12
02240,Southeast Fairbanks,Alaska,2366,748,172,49,49
02261,Valdez-Cordova,Alaska,2589,1196,293,94,82
02275,Wrangell,Alaska,706,303,60,21,15
02282,Yakutat,Alaska,149,147,24,8,2
02290,Yukon-Koyukuk,Alaska,976,1427,153,36,93
04001,Apache,Arizona,8240,17083,1221,469,106
04003,Cochise,Arizona,28092,17450,2394,993,455
04005,Coconino,Arizona,21108,32404,2978,1414,536
04007,Gila,Arizona,14182,7003,803,212,112
04009,Graham,Arizona,8025,3301,497,116,195
04011,Greenlee,Arizona,1892,1092,200,59,27
04012,La Paz,Arizona,4003,1575,211,73,15
04013,Maricopa,Arizona,747361,702907,67043,19432,12355
04015,Mohave,Arizona,58282,17455,2639,740,230
04017,Navajo,Arizona,20577,16459,1410,703,505
04019,Pima,Arizona,167428,224661,15620,6200,2509
04021,Pinal,Arizona,72819,47892,5010,1476,1057
04023,Santa Cruz,Arizona,3897,11690,432,221,47
04025,Yavapai,Arizona,71330,35590,3996,1588,652
04027,Yuma,Arizona,25165,24605,1873,649,124
05001,Arkansas,Arkansas,3826,1939,126,64,257
05003,Ashley,Arkansas,5338,2408,156,34,147
05005,Baxter,Arkansas,14682,4169,452,140,323
05007,Benton,Arkansas,60871,28005,3871,949,3128
05009,Boone,Arkansas,12235,2926,379,134,437
05011,Bradley,Arkansas,2164,1317,73,16,83
05013,Calhoun,Arkansas,1556,639,44,3,27
05015,Carroll,Arkansas,6786,3342,238,210,182
05017,Chicot,Arkansas,1716,2350,35,15,60
05019,Clark,Arkansas,4404,3620,196,68,238
05021,Clay,Arkansas,3781,1199,100,35,85
05023,Cleburne,Arkansas,9458,2101,229,63,234
05025,Cleveland,Arkansas,2462,723,59,8,102
05027,Columbia,Arkansas,5456,3140,117,40,134
05029,Conway,Arkansas,4849,2656,171,43,208
05031,Craighead,Arkansas,22892,10538,1031,304,808
05033,Crawford,Arkansas,16686,4488,581,173,522
05035,Crittenden,Arkansas,6964,8410,242,96,240
05037,Cross,Arkansas,4584,1999,105,24,162
05039,Dallas,Arkansas,1509,1165,26,12,59
05041,Desha,Arkansas,1919,2228,44,4,62
05043,Drew,Arkansas,3968,2365,111,43,108
05045,Faulkner,Arkansas,29346,14629,1675,511,1366
05047,Franklin,Arkansas,5039,1376,177,34,144
05049,Fulton,Arkansas,3471,1067,107,41,86
05051,Garland,Arkansas,26087,12311,989,387,1031
05053,Grant,Arkansas,5725,1373,177,30,140
05055,Greene,Arkansas,10720,3071,404,97,308
05057,Hempstead,Arkansas,4401,2377,106,22,143
05059,Hot Spring,Arkansas,8172,3149,239,112,272
05061,Howard,Arkansas,3157,1351,60,22,84
05063,Independence,Arkansas,9936,2881,352,85,360
05065,Izard,Arkansas,4042,1113,125,45,123
05067,Jackson,Arkansas,3267,1583,111,26,169
05069,Jefferson,Arkansas,9250,15772,296,157,419
05071,Johnson,Arkansas,6091,2427,294,90,210
05073,Lafayette,Arkansas,1758,1032,26,5,39
05075,Lawrence,Arkansas,4064,1263,165,39,154
05077,Lee,Arkansas,1229,1735,22,6,34
05079,Lincoln,Arkansas,2455,1252,48,16,55
05081,Little River,Arkansas,3605,1397,85,14,126
05083,Logan,Arkansas,5746,1715,195,54,211
05085,Lonoke,Arkansas,19958,5664,767,172,539
05087,Madison,Arkansas,4928,1588,144,54,127
05089,Marion,Arkansas,5336,1434,157,56,124
05091,Miller,Arkansas,11294,4273,237,69,218
05093,Mississippi,Arkansas,7061,5670,181,65,227
05095,Monroe,Arkansas,1489,1312,37,9,37
05097,Montgomery,Arkansas,2643,748,52,33,83
05099,Nevada,Arkansas,2000,1157,35,6,48
05101,Newton,Arkansas,2875,699,49,69,61
05103,Ouachita,Arkansas,5351,4321,97,24,142
05105,Perry,Arkansas,3008,1049,113,38,98
05107,Phillips,Arkansas,2446,4310,62,20,115
05109,Pike,Arkansas,3150,685,73,8,65
