STATE	APPORTIONMENT POPULATION	NUMBER OF APPORTIONED REPRESENTATIVES BASED ON CENSUS 2000	CHANGE FROM 1990 CENSUS APPORTIONMENT	TOTAL ELECTORAL VOTES	NUMBER OF CITIZENS PER ELECTORAL VOTE
    ALABAMA	4461130	7	0	9	495681
    ALASKA	628933	1	0	3	209644
    ARIZONA	5140683	8	+2	10	514068
    ARKANSAS	2679733	4	0	6	446622
    CALIFORNIA	33930798	53	+1	55	616923
    COLORADO	4311882	7	+1	9	479098
    CONNECTICUT	3409535	5	-1	7	487076
    DELAWARE	785068	1	0	3	261689
    FLORIDA	16028890	25	+2	27	593662
    GEORGIA	8206975	13	+2	15	547131
    HAWAII	1216642	2	0	4	304160
    IDAHO	1297274	2	0	4	324318
    ILLINOIS	12439042	19	-1	21	592335
    INDIANA	6090782	9	-1	11	553707
    IOWA	2931923	5	0	7	418846
    KANSAS	2693824	4	0	6	448970
    KENTUCKY	4049431	6	0	8	506178
    LOUISIANA	4480271	7	0	9	497807
    MAINE	1277731	2	0	4	319432
    MARYLAND	5307886	8	0	10	530788
    MASSACHUSETTS	6355568	10	0	12	529630
    MICHIGAN	9955829	15	-1	17	585637
    MINNESOTA	4925670	8	0	10	492567
    MISSISSIPPI	2852927	4	-1	6	475487
    MISSOURI	5606260	9	0	11	509660
    MONTANA	905316	1	0	3	301772
    NEBRASKA	1715369	3	0	5	343073
    NEVADA	2002032	3	+1	5	400406
    NEW HAMPSHIRE	1238415	2	0	4	309603
    NEW JERSEY	8424354	13	0	15	561623
    NEW MEXICO	1823821	3	0	5	364764
    NEW YORK	19004973	29	-2	31	613063
    NORTH CAROLINA	8067673	13	+1	15	537844
    NORTH DAKOTA	643756	1	0	3	214585
    OHIO	11374540	18	-1	20	568727
    OKLAHOMA	3458819	5	-1	7	494117
    OREGON	3428543	5	0	7	489791
    PENNSYLVANIA	12300670	19	-2	21	585746
    RHODE ISLAND	1049662	2	0	4	262415
    SOUTH CAROLINA	4025061	6	0	8	503132
    SOUTH DAKOTA	756874	1	0	3	252291
    TENNESSEE	5700037	9	0	11	518185
    TEXAS	20903994	32	+2	34	614823
    UTAH	2236714	3	0	5	447342
    VERMONT	609890	1	0	3	203296
    VIRGINIA	7100702	11	0	13	546207
    WASHINGTON	5908684	9	0	11	537153
    WEST VIRGINIA	1813077	3	0	5	362615
    WISCONSIN	5371210	8	-1	10	537121
    WYOMING	495304	1	0	3	165101
