U.S. Department of Commerce							
U.S. Census Bureau							
							
"Table 1. APPORTIONMENT POPULATION AND NUMBER OF REPRESENTATIVES, BY STATE:  2010 CENSUS"							
							
			NUMBER OF APPORTIONED				
	APPORTIONMENT		REPRESENTATIVES		CHANGE IN SEATS		
	POPULATION		BASED ON		FROM CENSUS 2000		
STATE	"(APRIL 1, 2010)"		2010 CENSUS		APPORTIONMENT		
							
							
Alabama	"4,802,982"		7		0		
Alaska	"721,523"		1		0		
Arizona	"6,412,700"		9		+1		
Arkansas	"2,926,229"		4		0		
California	"37,341,989"		53		0		
Colorado	"5,044,930"		7		0		
Connecticut	"3,581,628"		5		0		
Delaware	"900,877"		1		0		
Florida	"18,900,773"		27		+2		
Georgia	"9,727,566"		14		+1		
Hawaii	"1,366,862"		2		0		
Idaho	"1,573,499"		2		0		
Illinois	"12,864,380"		18		-1		
Indiana	"6,501,582"		9		0		
Iowa	"3,053,787"		4		-1		
Kansas	"2,863,813"		4		0		
Kentucky	"4,350,606"		6		0		
Louisiana	"4,553,962"		6		-1		
Maine	"1,333,074"		2		0		
Maryland	"5,789,929"		8		0		
Massachusetts	"6,559,644"		9		-1		
Michigan	"9,911,626"		14		-1		
Minnesota	"5,314,879"		8		0		
Mississippi	"2,978,240"		4		0		
Missouri	"6,011,478"		8		-1		
Montana	"994,416"		1		0		
Nebraska	"1,831,825"		3		0		
Nevada	"2,709,432"		4		+1		
New Hampshire	"1,321,445"		2		0		
New Jersey	"8,807,501"		12		-1		
New Mexico	"2,067,273"		3		0		
New York	"19,421,055"		27		-2		
North Carolina	"9,565,781"		13		0		
North Dakota	"675,905"		1		0		
Ohio	"11,568,495"		16		-2		
Oklahoma	"3,764,882"		5		0		
Oregon	"3,848,606"		5		0		
Pennsylvania	"12,734,905"		18		-1		
Rhode Island	"1,055,247"		2		0		
South Carolina	"4,645,975"		7		+1		
South Dakota	"819,761"		1		0		
Tennessee	"6,375,431"		9		0		
Texas	"25,268,418"		36		+4		
Utah	"2,770,765"		4		+1		
Vermont	"630,337"		1		0		
Virginia	"8,037,736"		11		0		
Washington	"6,753,369"		10		+1		
West Virginia	"1,859,815"		3		0		
Wisconsin	"5,698,230"		8		0		
Wyoming	"568,300"		1		0		
TOTAL1	"309,183,463"		435				
							
"     1 Apportionment population includes the resident population for the 50 states, as ascertained by the Twenty-Third"							
"Decennial Census under Title 13, United States Code, and counts of overseas U.S. military and federal  "							
"civilian employees (and their dependents living with them) allocated to their home state, as reported by"							
the employing federal agencies.  The apportionment population excludes the population of the District of Columbia.							
