questions_id,questions,num_respondents,options,Clinton_perc,Trump_perc,Others_Unknown_perc,options_perc,state,url
1,Gender,24558,Male,41,52,7,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
1,Gender,24558,Female,54,41,5,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,18-29,55,36,9,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,30-44,51,41,8,25,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,45-64,44,52,4,40,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,65 and older,45,52,3,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,18-24,56,34,10,10,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,25-29,54,38,8,9,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,30-39,51,39,10,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,40-49,46,49,5,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,50-64,44,52,4,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
3,Age,24558,65 and older,45,52,3,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
4,Age,24558,18-44,53,39,8,44,nation,http://www.cnn.com/election/results/exit-polls/national/president
4,Age,24558,45 and older,44,52,4,56,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,White,37,57,6,71,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Black,89,8,3,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Latino,66,28,6,11,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Asian,65,27,8,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Other race,56,36,8,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
6,Race,24558,White,37,57,6,71,nation,http://www.cnn.com/election/results/exit-polls/national/president
6,Race,24558,Non-white,74,21,5,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,White men,31,62,7,34,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,White women,43,52,5,37,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,Black men,82,13,5,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,Black women,94,4,2,7,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,Latino men,63,32,5,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
7,Race and gender,24558,Latino women,69,25,6,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
