Report Date/Time: 08/22/2016 10:11 AM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1,
,,,,,,"2016 Primary Election - August 30, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,ACTIVE,,,,,,,
,,Precincts,Date/Period,Democratic,,,Green,Libertarian,Republican,Other,TOTAL,
,Apache,45,Mar-16,"26,784",,,34,144,"7,893","13,227","48,082",
,,45,May-16,"27,583",,,39,142,"8,142","12,681","48,587",
,,45,P.E. 2016,"27,114",,,42,145,"8,070","12,277","47,648",
,Cochise,49,Mar-16,"19,289",,,102,411,"26,795","25,365","71,962",
,,49,May-16,"19,308",,,106,421,"27,084","24,981","71,900",
,,49,P.E. 2016,"19,546",,,129,471,"27,359","25,168","72,673",
,Coconino,71,Mar-16,"27,365",,,188,709,"17,832","23,029","69,123",
,,71,May-16,"29,166",,,196,703,"18,682","23,238","71,985",
,,71,P.E. 2016,"29,454",,,231,722,"18,892","23,410","72,709",
,Gila,39,Mar-16,"9,136",,,23,167,"11,344","8,156","28,826",
,,39,May-16,"9,348",,,24,171,"11,796","8,159","29,498",
,,39,P.E. 2016,"8,861",,,26,161,"11,559","7,686","28,293",
,Graham,22,Mar-16,"5,587",,,7,62,"7,486","4,643","17,785",
,,22,May-16,"5,620",,,7,65,"7,721","4,521","17,934",
,,22,P.E. 2016,"5,331",,,9,61,"7,574","4,085","17,060",
,Greenlee,8,Mar-16,"2,001",,,0,25,"1,130","1,193","4,349",
,,8,May-16,"2,008",,,0,27,"1,192","1,205","4,432",
,,8,P.E. 2016,"2,007",,,0,27,"1,264","1,242","4,540",
,La Paz,11,Mar-16,"2,216",,,10,34,"3,386","3,676","9,322",
,,11,May-16,"2,264",,,10,36,"3,496","3,673","9,479",
,,11,P.E. 2016,"2,062",,,10,31,"3,285","3,158","8,546",
,Maricopa,724,Mar-16,"532,946",,,"2,109","16,626","708,941","733,577","1,994,199",
,,724,May-16,"555,036",,,"2,208","16,617","724,414","728,242","2,026,517",
,,724,P.E. 2016,"575,701",,,"2,817","17,400","738,269","722,271","2,056,458",
,Mohave,24,Mar-16,"20,180",,,96,628,"45,358","44,475","110,737",
,,24,May-16,"19,604",,,92,593,"45,551","41,890","107,730",
,,24,P.E. 2016,"19,754",,,113,614,"47,268","41,867","109,616",
,Navajo,14,Mar-16,"23,315",,,41,368,"18,875","17,307","59,906",
,,14,May-16,"24,332",,,43,368,"19,742","16,939","61,424",
,,14,P.E. 2016,"24,336",,,51,386,"19,814","17,164","61,751",
,Pima,248,Mar-16,"179,043",,,"1,351","3,547","148,215","159,929","492,085",
,,248,May-16,"186,249",,,"1,330","3,560","152,396","157,048","500,583",
,,248,P.E. 2016,"191,766",,,"1,562","3,821","155,376","156,785","509,310",
,Pinal,101,Mar-16,"43,551",,,147,"1,106","54,416","66,445","165,665",
,,101,May-16,"46,032",,,158,"1,129","58,137","65,901","171,357",
,,102,P.E. 2016,"48,026",,,199,"1,265","61,240","67,744","178,474",
,Santa Cruz,24,Mar-16,"11,784",,,34,128,"3,890","8,320","24,156",
,,24,May-16,"12,213",,,36,131,"4,006","8,310","24,696",
,,24,P.E. 2016,"12,568",,,36,131,"4,079","8,364","25,178",
,Yavapai,44,Mar-16,"25,965",,,214,928,"55,878","44,509","127,494",
,,44,May-16,"26,980",,,201,920,"57,715","44,444","130,260",
,,45,P.E. 2016,"27,184",,,244,951,"58,732","43,224","130,335",
,Yuma,42,Mar-16,"23,365",,,26,450,"20,399","29,949","74,189",
,,43,May-16,"24,674",,,30,457,"21,742","30,024","76,927",
