Report Date/Time: 10/22/2013 04:41 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,Page Number 1,,
,,,,,"2013 October Voter Registration - October 1, 2013",,,,,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,,
,,,,,,ACTIVE,,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,,
,,,,0,,,,"26,529",37,164,"7,597",,,,
,Apache,45,G.E. 2012,,,,,,,,,"11,541","45,868",,
,,,,0,,,,"26,929",40,154,"7,669",,,,
,,45,Jul-13,,,,,,,,,"12,142","46,934",,
,,,,0,,,,"26,916",42,150,"7,678",,,,
,,45,Oct-13,,,,,,,,,"12,310","47,096",,
,,,,8,,,,"22,577",136,365,"30,257",,,,
,Cochise,49,G.E. 2012,,,,,,,,,"27,029","80,372",,
,,,,7,,,,"21,934",140,400,"29,406",,,,
,,49,Jul-13,,,,,,,,,"27,068","78,955",,
,,,,7,,,,"21,395",140,420,"28,607",,,,
,,49,Oct-13,,,,,,,,,"26,477","77,046",,
,,,,2,,,,"26,855",249,811,"18,624",,,,
,Coconino,71,G.E. 2012,,,,,,,,,"23,057","69,598",,
,,,,3,,,,"27,389",273,841,"18,969",,,,
,,71,Jul-13,,,,,,,,,"24,434","71,909",,
,,,,4,,,,"25,820",246,792,"17,856",,,,
,,71,Oct-13,,,,,,,,,"22,908","67,626",,
,,,,1,,,,"11,369",30,161,"12,121",,,,
,Gila,39,G.E. 2012,,,,,,,,,"8,479","32,161",,
,,,,2,,,,"10,326",21,136,"11,168",,,,
,,39,Jul-13,,,,,,,,,"7,658","29,311",,
,,,,2,,,,"10,341",21,142,"11,271",,,,
,,39,Oct-13,,,,,,,,,"7,879","29,656",,
,,,,0,,,,"6,009",4,49,"7,514",,,,
,Graham,22,G.E. 2012,,,,,,,,,"3,676","17,252",,
,,,,1,,,,"6,086",8,57,"7,742",,,,
,,22,Jul-13,,,,,,,,,"3,952","17,846",,
,,,,1,,,,"6,090",8,57,"7,774",,,,
,,22,Oct-13,,,,,,,,,"4,087","18,017",,
,,,,0,,,,"2,283",3,21,"1,091",,,,
,Greenlee,8,G.E. 2012,,,,,,,,,964,"4,362",,
,,,,0,,,,"2,264",3,20,"1,105",,,,
,,8,Jul-13,,,,,,,,,"1,031","4,423",,
,,,,0,,,,"2,249",3,20,"1,108",,,,
,,8,Oct-13,,,,,,,,,"1,068","4,448",,
,,,,1,,,,"2,659",18,26,"3,499",,,,
,La Paz,12,G.E. 2012,,,,,,,,,"3,554","9,757",,
,,,,1,,,,"2,349",16,29,"3,302",,,,
,,12,Jul-13,,,,,,,,,"3,232","8,929",,
,,,,1,,,,"2,334",16,32,"3,305",,,,
,,11,Oct-13,,,,,,,,,"3,275","8,963",,
,,,,155,,,,"509,540","2,396","13,721","685,627",,,,
,Maricopa,724,G.E. 2012,,,,,,,,,"606,393","1,817,832",,
,,,,182,,,,"531,545","2,593","16,210","707,148",,,,
,,724,Jul-13,,,,,,,,,"657,853","1,915,531",,
,,,,197,,,,"531,049","2,638","16,719","704,872",,,,
,,724,Oct-13,,,,,,,,,"672,392","1,927,867",,
,,,,7,,,,"24,911",115,577,"47,134",,,,
,Mohave,73,G.E. 2012,,,,,,,,,"42,766","115,510",,
,,,,9,,,,"23,305",110,578,"45,714",,,,
,,73,Jul-13,,,,,,,,,"41,767","111,483",,
,,,,9,,,,"23,282",109,598,"45,808",,,,
,,73,Oct-13,,,,,,,,,"42,734","112,540",,
,,,,1,,,,"24,435",56,342,"19,134",,,,
,Navajo,61,G.E. 2012,,,,,,,,,"15,579","59,547",,
,,,,3,,,,"24,215",52,357,"18,706",,,,
,,61,Jul-13,,,,,,,,,"15,576","58,909",,
,,,,4,,,,"23,990",53,357,"18,564",,,,
,,61,Oct-13,,,,,,,,,"15,736","58,704",,
,,,,38,,,,"186,040","1,296","3,643","154,358",,,,
,Pima,288,G.E. 2012,,,,,,,,,"150,272","495,647",,
,,,,42,,,,"185,211","1,450","3,843","152,333",,,,
,,288,Jul-13,,,,,,,,,"153,504","496,383",,
,,,,46,,,,"180,237","1,812","3,855","148,168",,,,
,,288,Oct-13,,,,,,,,,"151,773","485,891",,
,,,,14,,,,"44,623",177,906,"52,118",,,,
,Pinal,102,G.E. 2012,,,,,,,,,"55,218","153,056",,
,,,,13,,,,"44,787",171,"1,035","52,631",,,,
,,102,Jul-13,,,,,,,,,"57,564","156,201",,
,,,,16,,,,"44,964",173,"1,081","53,013",,,,
,,102,Oct-13,,,,,,,,,"59,367","158,614",,
,,,,0,,,,"12,227",29,128,"4,056",,,,
,Santa Cruz,24,G.E. 2012,,,,,,,,,"7,622","24,062",,
,,,,0,,,,"12,482",32,133,"4,105",,,,
,,24,Jul-13,,,,,,,,,"7,981","24,733",,
,,,,0,,,,"12,556",39,132,"4,110",,,,
,,24,Oct-13,,,,,,,,,"8,190","25,027",,
,,,,4,,,,"26,664",270,836,"55,369",,,,
,Yavapai,107,G.E. 2012,,,,,,,,,"41,013","124,156",,
,,,,11,,,,"26,676",283,925,"55,560",,,,
,,107,Jul-13,,,,,,,,,"42,630","126,085",,
,,,,9,,,,"25,658",252,919,"54,040",,,,
,,107,Oct-13,,,,,,,,,"41,249","122,127",,
,,,,6,,,,"26,210",47,336,"22,493",,,,
,Yuma,42,G.E. 2012,,,,,,,,,"26,440","75,532",,
,,,,6,,,,"27,128",49,563,"23,596",,,,
,,42,Jul-13,,,,,,,,,"28,845","80,187",,
,,,,6,,,,"27,207",49,571,"23,671",,,,
,,42,Oct-13,,,,,,,,,"29,601","81,105",,
,,,,237,,,,"952,931","4,863","22,086","1,120,992",,,,
,TOTALS:,"1,667",G.E. 2012,,,,,,,,,"1,023,603","3,124,712",,
,,,,280,,,,"972,626","5,241","25,281","1,139,154",,,,
,,"1,667",Jul-13,,,,,,,,,"1,085,237","3,227,819",,
,,,,302,,,,"964,088","5,601","25,845","1,129,845",,,,
,,"1,666",Oct-13,,,,,,,,,"1,099,046","3,224,727",,
,,,,0.01,,,,30.5,0.16,0.71,35.88,,,,
,PERCENTAGES:,,G.E. 2012,,,,,,,,,32.76,,,
,,,,0.01,,,,30.13,0.16,0.78,35.29,,,,
,,,Jul-13,,,,,,,,,33.62,,,
,,,,0.01,,,,29.9,0.17,0.8,35.04,,,,
,,,Oct-13,,,,,,,,,34.08,,,
Report Date/Time: 10/22/2013 04:41 PM,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,Page Number 2
,,,,,,,"2013 October Voter Registration - October 1, 2013",,,,,,,,
,,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,,,,ACTIVE,,,,,,,
,Congressional,,,,Precincts,,,,,,,,,Other,TOTAL
,,,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,
,,Congressional District 1,,,,,,,,,,,,,
,,,Apache,,45,0,,,,"26,916",42,150,"7,678","12,310","47,096"
,,,,,,,,,,,,,,,
,,,Coconino,,71,4,,,,"25,820",246,792,"17,856","22,908","67,626"
,,,,,,,,,,,,,,,
,,,Gila,,22,0,,,,"6,987",6,44,"2,729","3,327","13,093"
,,,,,,,,,,,,,,,
,,,Graham,,22,1,,,,"6,090",8,57,"7,774","4,087","18,017"
,,,,,,,,,,,,,,,
,,,Greenlee,,8,0,,,,"2,249",3,20,"1,108","1,068","4,448"
,,,,,,,,,,,,,,,
,,,Maricopa,,3,0,,,,442,0,10,65,392,909
,,,,,,,,,,,,,,,
,,,Mohave,,2,0,,,,298,0,1,122,270,691
,,,,,,,,,,,,,,,
,,,Navajo,,61,4,,,,"23,990",53,357,"18,564","15,736","58,704"
,,,,,,,,,,,,,,,
,,,Pima,,30,2,,,,"14,586",78,349,"23,906","16,841","55,762"
,,,,,,,,,,,,,,,
,,,Pinal,,60,7,,,,"28,358",91,527,"26,183","30,536","85,702"
,,,,,,,,,,,,,,,
,,,Yavapai,,15,2,,,,"4,640",54,150,"6,250","6,709","17,805"
,,,,TOTALS,339,20,,,,"140,376",581,"2,457","112,235","114,184","369,853"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Congressional District 2,,,,,,,,,,,,,
,,,Cochise,,49,7,,,,"21,395",140,420,"28,607","26,477","77,046"
,,,,,,,,,,,,,,,
,,,Pima,,167,31,,,,"106,238","1,110","2,458","102,045","93,805","305,687"
,,,,TOTALS,216,38,,,,"127,633","1,250","2,878","130,652","120,282","382,733"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Congressional District 3,,,,,,,,,,,,,
,,,Maricopa,,46,5,,,,"30,858",93,750,"23,844","35,593","91,143"
,,,,,,,,,,,,,,,
