,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,522,11,533,716,17,733,14,0,14,G IT L,958,44,1002,2210,72,2282
Ansonia,New Haven,3,1301,73,1374,3713,185,3898,8,1,9,C G IT,4656,309,4965,9678,568,10246
Ashford,Windham,2,509,21,530,1010,53,1063,17,3,20,G IT L,1280,89,1369,2816,166,2982
Avon,Hartford,5,3936,192,4128,3435,167,3602,14,0,14,G IT L,4741,332,5073,12126,691,12817
Barkhamsted,Litchfield,1,725,24,749,683,20,703,25,0,25,G IT L,1166,35,1201,2599,79,2678
Beacon Falls,New Haven,3,852,25,877,1042,26,1068,26,1,27,G IT L,1835,75,1910,3755,127,3882
Berlin,Hartford,1,3009,48,3057,5221,83,5304,55,1,56,C CFL G IT L,4911,146,5057,13196,278,13474
Bethany,New Haven,3,1012,45,1057,1028,39,1067,42,0,42,G IT L,1800,71,1871,3882,155,4037
Bethel,Fairfield,5,3031,49,3080,2916,84,3000,144,7,151,G IT L PRO WF,5158,197,5355,11249,337,11586
Bethlehem,Litchfield,5,836,7,843,678,8,686,14,0,14,C G IT L,1272,17,1289,2800,32,2832
Bloomfield,Hartford,1,1597,85,1682,8678,370,9048,25,0,25,C CFL G IT L WF,4350,271,4621,14650,726,15376
Bolton,Tolland,2,937,41,978,1073,55,1128,30,1,31,G IT L,1395,128,1523,3435,225,3660
Bozrah,New London,2,331,4,335,626,2,628,5,0,5,CFL IT L,742,14,756,1704,20,1724
Branford,New Haven,3,2888,120,3008,6303,272,6575,33,3,36,G I IT L,9420,541,9961,18644,936,19580
Bridgeport,Fairfield,4,4754,251,5005,43236,2315,45551,160,8,168,C G I IT L RF WF,20102,1291,21393,68252,3865,72117
Bridgewater,Litchfield,5,420,1,421,418,8,426,6,0,6,G IT L,439,17,456,1283,26,1309
