,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,529,12,541,692,25,717,17,0,17,G IT L,946,48,994,2184,85,2269
Ansonia,New Haven,3,1269,65,1334,3557,193,3750,8,1,9,C G IT,4592,276,4868,9426,535,9961
Ashford,Windham,2,498,21,519,1002,47,1049,17,1,18,G IT L,1248,59,1307,2765,128,2893
Avon,Hartford,5,3886,165,4051,3393,157,3550,26,2,28,G IT L,4696,282,4978,12001,606,12607
Barkhamsted,Litchfield,1,721,21,742,682,15,697,26,0,26,G IT L,1170,35,1205,2599,71,2670
Beacon Falls,New Haven,3,854,25,879,1026,42,1068,28,1,29,G IT L,1849,79,1928,3757,147,3904
Berlin,Hartford,1,3013,47,3060,5108,95,5203,55,2,57,C CFL G IT L,4898,171,5069,13074,315,13389
Bethany,New Haven,3,1014,44,1058,1030,37,1067,45,0,45,G IT L,1806,66,1872,3895,147,4042
Bethel,Fairfield,5,2990,77,3067,2835,120,2955,144,10,154,G IT L PRO WF,5014,245,5259,10983,452,11435
Bethlehem,Litchfield,5,825,9,834,679,4,683,19,0,19,C G IT L,1285,8,1293,2808,21,2829
Bloomfield,Hartford,1,1534,84,1618,8400,425,8825,35,0,35,C CFL G IT L WF,4239,276,4515,14208,785,14993
Bolton,Tolland,2,886,54,940,1037,79,1116,31,1,32,G IT L,1310,174,1484,3264,308,3572
Bozrah,New London,2,327,1,328,605,1,606,16,0,16,CFL IT L,748,4,752,1696,6,1702
Branford,New Haven,3,2753,208,2961,5936,471,6407,31,7,38,G I IT L,8866,886,9752,17586,1572,19158
Bridgeport,Fairfield,4,4528,260,4788,43376,2419,45795,161,11,172,C G I IT L RF WF,19690,1222,20912,67755,3912,71667
Bridgewater,Litchfield,5,406,2,408,396,2,398,7,0,7,G IT L,432,4,436,1241,8,1249
Bristol,Hartford,1,5578,226,5804,13527,564,14091,153,6,159,C CFL G I IT L RF,13997,774,14771,33255,1570,34825
Brookfield,Fairfield,5,3586,202,3788,2113,159,2272,121,11,132,G IT L,4211,480,4691,10031,852,10883
Brooklyn,Windham,2,904,53,957,1346,88,1434,58,1,59,G IT L WF,2317,186,2503,4625,328,4953
Burlington,Hartford,5,1634,0,1634,1709,3,1712,27,0,27,G IT L,2701,6,2707,6071,9,6080
Canaan,Litchfield,5,197,4,201,252,3,255,2,0,2,G,273,14,287,724,21,745
Canterbury,Windham,2,983,23,1006,770,36,806,19,0,19,CF G IT L,1560,90,1650,3332,149,3481
Canton,Hartford,5,2001,74,2075,2113,82,2195,41,0,41,G IT L,2649,145,2794,6804,301,7105
Chaplin,Windham,2,405,6,411,395,16,411,2,1,3,G,502,25,527,1304,48,1352
Cheshire,New Haven,5,4391,123,4514,4673,150,4823,120,9,129,C CFL G I IT L WF,8969,272,9241,18153,554,18707
Chester,Middlesex,2,503,29,532,912,44,956,20,2,22,G IT L,1031,83,1114,2466,158,2624
Clinton,Middlesex,2,2265,67,2332,2532,74,2606,92,2,94,G IT L,4143,152,4295,9032,295,9327
Colchester,New London,2,2069,62,2131,2931,128,3059,43,2,45,CFL G IT L,4606,249,4855,9649,441,10090
Colebrook,Litchfield,1,274,4,278,312,17,329,13,0,13,G IT L WF,492,15,507,1091,36,1127
Columbia,Tolland,2,789,23,812,1228,45,1273,34,1,35,G IT L WF,1430,85,1515,3481,154,3635
Cornwall,Litchfield,5,190,7,197,400,23,423,7,1,8,G L,409,30,439,1006,61,1067
Coventry,Tolland,2,1492,111,1603,2243,168,2411,38,5,43,G IT L WF,3562,568,4130,7335,852,8187
Cromwell,Middlesex,1,1919,77,1996,3156,148,3304,86,10,96,G IT L,3924,166,4090,9085,401,9486
Danbury,Fairfield,5,6547,335,6882,10342,678,11020,400,32,432,G IT L RF,15329,1249,16578,32618,2294,34912
Darien,Fairfield,4,6084,131,6215,2325,82,2407,13,0,13,C G L,4028,170,4198,12450,383,12833
Deep River,Middlesex,2,600,11,611,1027,49,1076,10,3,13,CFL G IT L,1429,86,1515,3066,149,3215
Derby,New Haven,3,921,47,968,2624,122,2746,12,1,13,G L,2852,142,2994,6409,312,6721
Durham,Middlesex,"2,3",1343,34,1377,1239,47,1286,22,0,22,G IT L,2379,83,2462,4983,164,5147
East Granby,Hartford,1,958,8,966,948,15,963,18,1,19,G IT L,1436,34,1470,3360,58,3418
East Haddam,Middlesex,2,1208,32,1240,1790,48,1838,58,7,65,G IT L WF,2596,82,2678,5652,169,5821
East Hampton,Middlesex,2,1700,73,1773,2548,118,2666,64,2,66,G I IT L,3936,215,4151,8248,408,8656
East Hartford,Hartford,1,2755,126,2881,12986,645,13631,96,6,102,CFL G IT L WF,10596,635,11231,26433,1412,27845
East Haven,New Haven,3,2540,115,2655,5552,303,5855,44,1,45,CFL G I IT L RF WF,7327,451,7778,15463,870,16333
East Lyme,New London,2,2707,84,2791,3548,150,3698,24,0,24,G IT L WF,5419,257,5676,11698,491,12189
East Windsor,Hartford,1,1412,58,1470,2306,116,2422,22,1,23,G L,3381,231,3612,7121,406,7527
Eastford,Windham,2,409,26,435,292,11,303,4,1,5,G IT L,443,35,478,1148,73,1221
Easton,Fairfield,4,1691,46,1737,1139,43,1182,32,5,37,C CFL G IT L WF,2232,83,2315,5094,177,5271
Ellington,Tolland,2,2097,81,2178,2292,88,2380,90,9,99,CFL G IT L,4714,174,4888,9193,352,9545
Enfield,Hartford,2,4766,212,4978,8989,456,9445,310,31,341,C CFL ETP G I IT L WF,11046,686,11732,25111,1385,26496
Essex,Middlesex,2,1302,22,1324,1430,39,1469,15,1,16,G IT L,1778,82,1860,4525,144,4669
Fairfield,Fairfield,4,10413,591,11004,10074,631,10705,179,8,187,G I IT L RF WF,14645,1077,15722,35311,2307,37618
Farmington,Hartford,5,4414,223,4637,5241,350,5591,76,3,79,G I IT L WF,7001,559,7560,16732,1135,17867
Franklin,New London,2,313,4,317,351,5,356,7,0,7,G IT L,592,7,599,1263,16,1279
Glastonbury,Hartford,"1,2",5639,481,6120,6983,591,7574,70,5,75,CFL G IT L,8415,1266,9681,21107,2343,23450
Goshen,Litchfield,5,741,11,752,526,12,538,16,0,16,C G IT L,809,31,840,2092,54,2146
Granby,Hartford,1,2254,135,2389,1925,127,2052,56,4,60,G IT L,2797,308,3105,7032,574,7606
Greenwich,Fairfield,4,12897,466,13363,8530,442,8972,308,29,337,C CFL G I IT L WF,12171,675,12846,33906,1612,35518
Griswold,New London,2,1221,113,1334,2293,202,2495,87,6,93,C G IT L,2671,364,3035,6272,685,6957
Groton,New London,2,3868,108,3976,5784,199,5983,61,1,62,C G IT L WF,9820,373,10193,19533,681,20214
Guilford,New Haven,3,3471,159,3630,5081,249,5330,39,0,39,G I IT L RF,6747,387,7134,15338,795,16133
Haddam,Middlesex,2,1304,27,1331,1765,39,1804,51,0,51,CFL G I IT L RF,2716,84,2800,5836,150,5986
Hamden,New Haven,3,3995,275,4270,15341,894,16235,155,19,174,G I IT L RF,12553,1332,13885,32044,2520,34564
Hampton,Windham,2,334,14,348,433,22,455,18,1,19,G IT L THP,470,28,498,1255,65,1320
Hartford,Hartford,1,1824,364,2188,33724,6606,40330,167,16,183,CFL G IT L WF,10086,2992,13078,45801,9978,55779
Hartland,Hartford,1,589,11,600,340,11,351,30,0,30,G IT,554,13,567,1513,35,1548
Harwinton,Litchfield,5,1107,36,1143,962,38,1000,33,1,34,G I IT L,1838,71,1909,3940,146,4086
Hebron,Tolland,2,1570,32,1602,1767,26,1793,12,1,13,G IT L,2953,78,3031,6302,137,6439
Kent,Litchfield,5,478,11,489,733,14,747,0,0,0,IT,724,24,748,1935,49,1984
Killingly,Windham,2,1511,71,1582,2482,105,2587,50,2,52,G IT L WF,4988,285,5273,9031,463,9494
Killingworth,Middlesex,2,1192,68,1260,1074,59,1133,19,0,19,G IT L WF,1925,258,2183,4210,385,4595
Lebanon,New London,2,1190,37,1227,1240,42,1282,30,0,30,C G IT L WF,2156,124,2280,4616,203,4819
Ledyard,New London,2,2409,91,2500,2322,107,2429,301,14,315,G IT L,3849,218,4067,8881,430,9311
Lisbon,New London,2,497,17,514,868,31,899,10,0,10,G IT L WF,1137,94,1231,2512,142,2654
Litchfield,Litchfield,5,1923,102,2025,1593,99,1692,27,2,29,G IT L,2353,169,2522,5896,372,6268
Lyme,New London,2,565,9,574,506,15,521,12,2,14,G IT L,711,25,736,1794,51,1845
Madison,New Haven,2,4135,161,4296,3489,146,3635,69,5,74,G I IT L RF,5488,231,5719,13181,543,13724
Manchester,Hartford,1,4953,813,5766,11019,1825,12844,351,60,411,C G IT L WF,10482,3151,13633,26805,5849,32654
Mansfield,Tolland,2,1362,321,1683,4302,1140,5442,65,15,80,G IT L,4681,1910,6591,10410,3386,13796
Marlborough,Hartford,2,1009,27,1036,1292,40,1332,55,2,57,G IT L,1739,89,1828,4095,158,4253
Meriden,New Haven,5,4160,147,4307,11095,317,11412,94,6,100,C CFL G L,16463,611,17074,31812,1081,32893
Middlebury,New Haven,5,2409,56,2465,1080,27,1107,25,0,25,G IT L,1643,43,1686,5157,126,5283
