001  ADAIR ,16 ,3798 ,8998 ,442 ,316 ,19 ,3 ,1 ,0 ,0 ,6514 ,7063 ,13577
002  ALLEN ,13 ,4771 ,8694 ,738 ,254 ,24 ,8 ,2 ,0 ,1 ,6901 ,7591 ,14492
003  ANDERSON ,14 ,9735 ,6817 ,803 ,398 ,32 ,9 ,1 ,1 ,0 ,8491 ,9304 ,17796
004  BALLARD ,13 ,4439 ,1646 ,208 ,83 ,11 ,3 ,3 ,0 ,0 ,3070 ,3323 ,6393
005  BARREN ,25 ,16213 ,12597 ,1036 ,887 ,60 ,19 ,9 ,6 ,0 ,14494 ,16332 ,30827
006  BATH ,12 ,7169 ,1654 ,328 ,81 ,5 ,2 ,0 ,1 ,0 ,4453 ,4787 ,9240
007  BELL ,30 ,9129 ,10910 ,949 ,121 ,7 ,2 ,0 ,1 ,0 ,9957 ,11162 ,21119
008  BOONE ,62 ,32304 ,53862 ,8975 ,3735 ,404 ,58 ,23 ,2 ,5 ,47880 ,51487 ,99368
009  BOURBON ,16 ,9129 ,4545 ,596 ,358 ,36 ,7 ,1 ,0 ,1 ,6913 ,7760 ,14673
010  BOYD ,46 ,21233 ,14655 ,1621 ,1709 ,100 ,20 ,6 ,1 ,0 ,18508 ,20837 ,39345
011  BOYLE ,25 ,11622 ,8415 ,1085 ,520 ,38 ,9 ,2 ,0 ,1 ,10092 ,11598 ,21692
012  BRACKEN ,8 ,4462 ,1546 ,200 ,78 ,6 ,3 ,0 ,0 ,0 ,3084 ,3211 ,6295
013  BREATHITT ,21 ,10295 ,1038 ,223 ,93 ,7 ,1 ,0 ,0 ,0 ,5765 ,5892 ,11657
014  BRECKINRIDGE ,16 ,6941 ,7102 ,522 ,399 ,24 ,3 ,2 ,0 ,0 ,7352 ,7641 ,14993
015  BULLITT ,48 ,26858 ,25714 ,3877 ,1449 ,154 ,31 ,17 ,1 ,0 ,27962 ,30138 ,58101
016  BUTLER ,12 ,2169 ,6880 ,169 ,157 ,17 ,5 ,1 ,0 ,0 ,4533 ,4864 ,9398
017  CALDWELL ,13 ,6740 ,2809 ,351 ,191 ,8 ,3 ,0 ,0 ,1 ,4758 ,5344 ,10103
018  CALLOWAY ,29 ,16762 ,9791 ,1900 ,807 ,81 ,17 ,5 ,0 ,1 ,13781 ,15583 ,29364
019  CAMPBELL ,67 ,29634 ,32967 ,5498 ,3475 ,300 ,67 ,11 ,5 ,11 ,34049 ,37914 ,71968
020  CARLISLE ,6 ,2863 ,1031 ,109 ,25 ,3 ,2 ,0 ,0 ,1 ,1920 ,2114 ,4034
021  CARROLL ,11 ,5838 ,1463 ,395 ,110 ,8 ,3 ,3 ,1 ,0 ,3782 ,4039 ,7823
022  CARTER ,26 ,11121 ,7413 ,873 ,423 ,29 ,6 ,2 ,0 ,0 ,9561 ,10306 ,19867
023  CASEY ,15 ,1936 ,8568 ,117 ,214 ,18 ,0 ,5 ,0 ,0 ,5241 ,5617 ,10858
024  CHRISTIAN ,41 ,27203 ,17925 ,3432 ,1269 ,149 ,30 ,29 ,3 ,2 ,22433 ,27609 ,50042
025  CLARK ,26 ,15031 ,10660 ,1783 ,692 ,75 ,10 ,2 ,0 ,0 ,13382 ,14871 ,28253
026  CLAY ,20 ,1932 ,12326 ,213 ,157 ,9 ,4 ,1 ,0 ,0 ,7131 ,7511 ,14642
027  CLINTON ,13 ,1250 ,6120 ,72 ,51 ,2 ,2 ,1 ,0 ,0 ,3608 ,3890 ,7498
