COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|R|U|TOTAL|
AND|AUBURN|1-1|2|20|62|5|643|137|28|388|652|1848|
AND|AUBURN|1-1|2|20|64|5|127|23|5|148|148|451|
AND|AUBURN|1-1|2|20|64|6|322|41|9|330|378|1080|
AND|AUBURN|2-1|2|20|62|5|209|38|24|126|261|658|
AND|AUBURN|2-1|2|20|64|5|610|83|21|415|643|1772|
AND|AUBURN|2-1|2|20|64|6|308|33|7|307|398|1053|
AND|AUBURN|3-1|2|20|62|5|205|43|29|109|250|636|
AND|AUBURN|3-1|2|20|63|5|302|37|12|274|336|961|
AND|AUBURN|3-1|2|20|63|6|408|43|7|362|548|1368|
AND|AUBURN|3-1|2|20|64|6|102|12|1|87|138|340|
AND|AUBURN|4-1|2|20|62|5|270|50|19|120|264|723|
AND|AUBURN|4-1|2|20|63|5|210|33|4|145|267|659|
AND|AUBURN|4-1|2|20|63|6|385|48|12|436|492|1373|
AND|AUBURN|5-1|2|20|62|5|418|70|31|190|494|1203|
AND|AUBURN|5-1|2|20|63|5|462|67|19|334|539|1421|
AND|AUBURN|5-1|2|20|63|6|165|26|4|195|327|717|
AND|DURHAM|1-1|2|22|46|3|872|193|19|992|1375|3451|
AND|GREENE|1-1|2|22|57|3|875|219|25|977|1297|3393|
AND|LEEDS|1-1|2|22|75|7|480|123|9|517|711|1840|
AND|LEWISTON|1-1|2|21|59|2|779|83|28|375|535|1800|
AND|LEWISTON|1-1|2|21|60|2|1367|140|55|327|967|2856|
AND|LEWISTON|2-1|2|21|59|2|1572|179|44|921|1231|3947|
AND|LEWISTON|3-1|2|21|59|2|603|38|3|106|332|1082|
AND|LEWISTON|3-1|2|21|60|1|1645|249|171|427|1417|3909|
AND|LEWISTON|4-1|2|21|58|1|188|17|3|113|109|430|
AND|LEWISTON|4-1|2|21|58|2|399|46|29|175|335|984|
AND|LEWISTON|4-1|2|21|58|3|424|55|23|263|366|1131|
AND|LEWISTON|4-1|2|21|59|2|356|57|13|184|290|900|
AND|LEWISTON|5-1|2|21|60|2|302|53|13|147|279|794|
AND|LEWISTON|5-1|2|21|61|1|853|141|167|172|735|2068|
AND|LEWISTON|6-1|2|21|58|3|1108|167|22|835|931|3063|
AND|LEWISTON|6-1|2|21|61|1|210|27|9|105|145|496|
AND|LEWISTON|6-1|2|21|61|3|102|8|1|57|68|236|
AND|LEWISTON|7-1|2|21|58|1|350|50|13|187|259|859|
