"","",JANUARY,"","",JULY,"","","",OCTOBER,"",""
COUNTY,"","ACTIVE ALL REGISTERED REGISTEREDVOTERS VOTERS","","","ACTIVE ALL REGISTERED REGISTERED VOTERS VOTERS","","","","ACTIVE ALL REGISTERED REGISTERED VOTERS VOTERS","",""
1,ALCONA,"8,179","9,264","","8,214","","9,305","","8,261","","9,347"
2,ALGER,"6,201","7,214","","6,254","","7,259","","6,336","","7,337"
3,ALLEGAN,"74,951","81,954","","75,561","","82,562","","77,040","","83,976"
4,ALPENA,"20,016","23,186","","20,029","","23,276","","20,332","","23,549"
5,ANTRIM,"18,086","20,030","","18,177","","20,120","","18,501","","20,425"
6,ARENAC,"10,901","12,052","","10,843","","12,005","","10,996","","12,151"
7,BARAGA,"5,427","6,400","","5,439","","6,375","","5,487","","6,428"
8,BARRY,"40,182","44,244","","40,512","","44,601","","41,310","","45,336"
9,BAY,"72,714","79,214","","72,716","","79,218","","73,754","","80,236"
10,BENZIE,"13,474","14,714","","13,618","","14,874","","13,848","","15,088"
11,BERRIEN,"106,719","125,153","","106,643","","125,805","","108,564","","127,768"
12,BRANCH,"26,948","31,044","","27,007","","31,160","","27,366","","31,518"
13,CALHOUN,"87,948","99,275","","87,490","","99,319","","88,893","","100,662"
14,CASS,"34,255","39,684","","34,450","","40,027","","34,912","","40,527"
15,CHARLEVOIX,"19,576","21,781","","19,700","","21,906","","19,943","","22,144"
16,CHEBOYGAN,"19,207","21,006","","19,290","","21,074","","19,555","","21,318"
17,CHIPPEWA,"21,469","23,866","","21,560","","23,974","","21,873","","24,279"
18,CLARE,"20,409","23,110","","20,359","","23,055","","20,716","","23,386"
19,CLINTON,"51,211","55,220","","51,513","","55,654","","52,894","","57,040"
20,CRAWFORD,"9,783","11,055","","10,018","","11,268","","10,109","","11,343"
21,DELTA,"24,965","28,926","","25,011","","29,005","","25,424","","29,395"
22,DICKINSON,"18,480","21,848","","18,554","","21,986","","18,732","","22,250"
23,EATON,"73,226","79,643","","73,733","","80,186","","75,241","","81,665"
24,EMMET,"25,356","27,900","","25,495","","28,072","","25,963","","28,547"
25,GENESEE,"290,147","326,214","","290,177","","326,638","","294,756","","331,057"
26,GLADWIN,"18,294","20,923","","18,269","","20,871","","18,511","","21,084"
27,GOGEBIC,"10,990","13,652","","11,036","","13,770","","11,193","","13,953"
28,GRAND TRAVERSE,"66,739","71,696","","67,185","","72,446","","68,492","","73,819"
29,GRATIOT,"23,515","26,071","","23,662","","26,153","","23,991","","26,463"
30,HILLSDALE,"28,758","33,397","","28,904","","33,556","","29,317","","33,922"
