County ,Registered Voters
Adair ,15231
Andrew ,12188
Atchison ,3815
Audrain ,15507
Barry ,21045
Barton ,8653
Bates ,11616
Benton ,13877
Bollinger ,8287
Boone ,131020
Buchanan ,52049
Butler ,28799
Caldwell ,6328
Callaway ,28572
Camden ,31788
Cape Girardeau ,53503
Carroll ,6314
Carter ,4761
Cass ,71389
Cedar ,8416
Chariton ,5536
Christian ,56933
Clark ,4933
Clay ,169796
Clinton ,14700
Cole ,53755
Cooper ,11308
Crawford ,16131
Dade ,5986
Dallas ,10931
Daviess ,5396
De Kalb ,6504
Dent ,9558
Douglas ,9684
Dunklin ,17359
Franklin ,70716
Gasconade ,10634
Gentry ,4669
Greene ,190103
Grundy ,6726
Harrison ,5243
Henry ,15780
Hickory ,6762
Holt ,3324
Howard ,6939
Howell ,27043
Iron ,6983
Jackson ,256808
Jasper ,77987
Jefferson ,148904
Johnson ,32487
Kansas City ,222578
Knox ,2515
Laclede ,23140
Lafayette ,23145
Lawrence ,24317
Lewis ,6691
Lincoln ,36222
Linn ,8636
Livingston ,9520
Macon ,10730
Madison ,7825
Maries ,6218
Marion ,19945
McDonald ,13140
Mercer ,2551
Miller ,17568
Mississippi ,8978
Moniteau ,9545
Monroe ,5994
Montgomery ,8066
Morgan ,12547
New Madrid ,11789
Newton ,40039
Nodaway ,13037
Oregon ,7061
Osage ,9553
Ozark ,7271
Pemiscot ,11754
Perry ,12314
Pettis ,26274
Phelps ,28554
Pike ,10803
Platte ,68621
Polk ,20073
Pulaski ,23269
Putnam ,3766
Ralls ,7253
Randolph ,15785
Ray ,16662
Reynolds ,5036
Ripley ,9050
Saline ,13684
Schuyler ,2851
Scotland ,3123
Scott ,26263
Shannon ,5399
Shelby ,4547
St. Charles ,295391
St. Clair ,6592
St. Francois ,38667
St. Louis ,764692
St. Louis City ,221561
Ste. Genevieve ,12882
Stoddard ,20607
Stone ,23466
Sullivan ,4072
Taney ,36502
Texas ,16356
Vernon ,13112
Warren ,22617
Washington ,14130
Wayne ,9118
Webster ,23707
Worth ,1505
Wright ,12332
