County,Precincts ,Republican ,Democratic ,Libertarian ,Nonpartisan ,Total 
Adams ,28 ,"10,859 ","5,042 ",174 ,"3,629 ","19,704 "
Antelope ,13 ,"3,128 ",865 ,14 ,589 ,"4,596 "
Arthur ,1 ,288 ,37 ,3 ,15 ,343 
Banner ,1 ,430 ,38 ,7 ,76 ,551 
Blaine ,6 ,318 ,43 ,2 ,30 ,393 
Boone ,11 ,"2,480 ",910 ,12 ,412 ,"3,814 "
Box Butte ,9 ,"4,375 ","1,844 ",62 ,"1,389 ","7,670 "
Boyd ,3 ,"1,087 ",249 ,4 ,159 ,"1,499 "
Brown ,3 ,"1,683 ",252 ,10 ,211 ,"2,156 "
Buffalo ,29 ,"17,262 ","6,501 ",341 ,"5,545 ","29,649 "
Burt ,11 ,"2,552 ","1,440 ",34 ,902 ,"4,928 "
Butler ,11 ,"3,121 ","1,590 ",20 ,909 ,"5,640 "
Cass ,30 ,"8,609 ","4,642 ",194 ,"4,078 ","17,523 "
Cedar ,13 ,"3,542 ","1,570 ",17 ,883 ,"6,012 "
Chase ,5 ,"1,857 ",374 ,9 ,281 ,"2,521 "
Cherry ,20 ,"3,181 ",566 ,11 ,458 ,"4,216 "
Cheyenne ,9 ,"4,301 ","1,217 ",59 ,"1,350 ","6,927 "
Clay ,11 ,"2,769 ",841 ,18 ,646 ,"4,274 "
Colfax ,6 ,"2,362 ","2,036 ",24 ,710 ,"5,132 "
Cuming ,7 ,"3,665 ","1,242 ",28 ,901 ,"5,836 "
Custer ,25 ,"5,485 ","1,444 ",58 ,"1,173 ","8,160 "
Dakota ,13 ,"3,703 ","4,275 ",93 ,"2,687 ","10,758 "
Dawes ,11 ,"3,519 ","1,323 ",50 ,"1,186 ","6,078 "
Dawson ,20 ,"7,779 ","3,737 ",120 ,"2,440 ","14,076 "
Deuel ,3 ,"1,015 ",175 ,11 ,216 ,"1,417 "
Dixon ,12 ,"2,296 ",952 ,19 ,555 ,"3,822 "
