REGION ,COUNTY ,STATUS ,DEM ,REP ,CON ,GRE ,WOR ,IND ,WEP ,REF ,OTH ,BLANK ,TOTAL
Outside NYC ,Albany ,Active ,"91,658 ","35,821 ","2,991 ",525 ,608 ,"9,612 ",49 ,14 ,198 ,"41,926 ","183,402"
Outside NYC ,Albany ,Inactive ,"11,327 ","3,304 ",330 ,96 ,124 ,"1,242 ",4 ,0 ,104 ,"5,647 ","22,178"
Outside NYC ,Albany ,Total ,"102,985 ","39,125 ","3,321 ",621 ,732 ,"10,854 ",53 ,14 ,302 ,"47,573 ","205,580"
Outside NYC ,Allegany ,Active ,"5,943 ","12,414 ",439 ,80 ,128 ,"1,275 ",2 ,2 ,14 ,"4,797 ","25,094"
Outside NYC ,Allegany ,Inactive ,486 ,663 ,29 ,10 ,17 ,131 ,0 ,0 ,4 ,492 ,"1,832"
Outside NYC ,Allegany ,Total ,"6,429 ","13,077 ",468 ,90 ,145 ,"1,406 ",2 ,2 ,18 ,"5,289 ","26,926"
Outside NYC ,Broome ,Active ,"42,748 ","41,370 ","1,571 ",360 ,587 ,"6,123 ",25 ,26 ,93 ,"22,609 ","115,512"
Outside NYC ,Broome ,Inactive ,"6,222 ","3,904 ",160 ,96 ,146 ,"1,034 ",5 ,1 ,35 ,"4,698 ","16,301"
Outside NYC ,Broome ,Total ,"48,970 ","45,274 ","1,731 ",456 ,733 ,"7,157 ",30 ,27 ,128 ,"27,307 ","131,813"
Outside NYC ,Cattaraugus ,Active ,"14,570 ","17,372 ","1,106 ",121 ,275 ,"2,272 ",13 ,10 ,12 ,"9,145 ","44,896"
Outside NYC ,Cattaraugus ,Inactive ,"2,074 ","1,971 ",146 ,27 ,74 ,438 ,1 ,0 ,8 ,"1,858 ","6,597"
Outside NYC ,Cattaraugus ,Total ,"16,644 ","19,343 ","1,252 ",148 ,349 ,"2,710 ",14 ,10 ,20 ,"11,003 ","51,493"
Outside NYC ,Cayuga ,Active ,"14,857 ","16,569 ","1,236 ",156 ,228 ,"2,483 ",4 ,1 ,20 ,"9,843 ","45,397"
Outside NYC ,Cayuga ,Inactive ,"1,456 ","1,295 ",99 ,18 ,50 ,314 ,0 ,0 ,2 ,"1,312 ","4,546"
