ANDERSON,"","38,822","6,992","1,942",6,767
BEDFORD,"","20,456","3,558",914,15,400
BENTON,"","8,314","2,239",423,65,84
BLEDSOE,"","7,051","1,088",314,0,124
BLOUNT,"","66,967","9,637","3,748",124,"1,242"
BRADLEY,"","59,946","4,111","2,178",328,925
CAMPBELL,"","17,287","6,565",595,15,274
CANNON,"","6,399","2,230",358,2,102
CARROLL,"","14,383","3,496",547,0,262
CARTER,"","30,612","2,140","1,271",70,690
CHEATHAM,"","20,094","3,440","1,216",3,465
CHESTER,"","9,093","1,399",411,12,191
CLAIBORNE,"","16,126","3,203",665,8,210
CLAY,"","4,835",811,190,0,96
COCKE,"","18,982","3,416",669,5,329
COFFEE,"","26,728","4,853","1,349",90,542
CROCKETT,"","7,085","1,287",262,3,160
CUMBERLAND,"","34,891","4,202","2,504",0,"1,647"
DAVIDSON,"","315,487","70,757","17,883",0,"6,034"
DECATUR,"","6,156","1,054",262,16,104
DEKALB,"","9,875","1,590",456,0,183
DICKSON,"","24,515","5,198","1,288",38,393
DYER,"","18,689","2,905",676,73,340
FAYETTE,"","24,081","3,011","1,089",10,423
FENTRESS,"","10,186","1,745",401,0,195
FRANKLIN,"","20,741","4,173",895,7,416
GIBSON,"","25,067","4,752","1,138",9,680
GILES,"","16,066","2,439",636,1,265
GRAINGER,"","11,755","3,006",548,3,216
GREENE,"","31,368","9,419","1,351","1,185",381
GRUNDY,"","6,834",707,299,2,112
HAMBLEN,"","31,646","2,758","1,147",39,587
HAMILTON,"","185,363","54,075","7,597","1,219","2,166"
HANCOCK,"","3,969",961,119,4,60
HARDEMAN,"","13,476","1,143",309,0,209
HARDIN,"","12,694","3,088",608,71,300
HAWKINS,"","26,619","5,009","1,145",8,440
HAYWOOD,"","9,466","1,481",304,0,183
HENDERSON,"","14,006","3,038",486,15,301
HENRY,"","16,275","3,489",786,48,279
HICKMAN,"","12,031","1,937",497,0,250
HOUSTON,"","4,366",816,181,2,78
HUMPHREYS,"","11,574","1,054",430,55,231
JACKSON,"","6,743","1,934",313,0,134
JEFFERSON,"","24,079","5,951","1,309",71,465
JOHNSON,"","8,717","2,336",258,1,121
KNOX,"","225,016","70,002","11,502",17,"3,232"
LAKE,"","3,205",593,73,1,77
LAUDERDALE,"","11,858","1,684",420,182,247
LAWRENCE,"","20,478","3,848",713,0,264
LEWIS,"","6,463","1,142",229,74,127
LINCOLN,"","16,811","3,417",668,84,196
LOUDON,"","28,894","3,926","1,602",0,667
MACON,"","10,246","2,053",433,36,187
MADISON,"","50,518","10,990","2,005",59,863
MARION,"","14,315","3,109",608,26,225
MARSHALL,"","14,485","3,292",715,13,314
MAURY,"","44,919","8,012","2,640",40,835
MCMINN,"","24,109","6,476","1,237",26,471
MCNAIRY,"","12,510","3,362",512,6,210
MEIGS,"","5,760","1,552",304,6,120
MONROE,"","23,813","4,620","1,123",1,453
MONTGOMERY,"","86,111","18,891","5,326",0,"1,080"
MOORE,"","4,505",176,179,0,79
MORGAN,"","9,374","2,804",261,5,170
OBION,"","15,460","3,115",520,0,237
OVERTON,"","12,253","1,804",550,0,241
PERRY,"","4,179","1,101",166,0,51
PICKETT,"","3,602",399,113,0,86
POLK,"","12,505",28,461,0,224
PUTNAM,"","35,993","5,287","2,028",42,762
RHEA,"","14,860","4,727",664,4,242
ROANE,"","27,921","5,776","1,278",0,512
ROBERTSON,"","34,755","5,161","1,842",1,662
RUTHERFORD,"","131,297","26,906","7,827",365,"2,224"
SCOTT,"","13,295",520,359,21,186
SEQUATCHIE,"","7,886","1,618",351,20,145
SEVIER,"","56,259","3,571","2,908",126,937
SHELBY,"","471,991","82,573","14,839","28,468","4,298"
SMITH,"","10,024","1,781",407,9,174
STEWART,"","7,405","1,054",320,3,126
SULLIVAN,"","85,343","8,313","3,147",275,"1,393"
SUMNER,"","87,336","17,167","5,501",98,"1,406"
TIPTON,"","30,384","9,152","1,142",282,458
TROUSDALE,"","4,309",882,168,0,82
UNICOI,"","9,032","1,781",403,69,192
UNION,"","8,892","2,673",408,13,163
VAN BUREN,"","4,100",381,119,35,109
WARREN,"","17,921","3,338",786,10,327
WASHINGTON,"","62,859","12,866","3,795",218,"1,528"
WAYNE,"","8,020","2,296",275,0,125
WEAKLEY,"","15,224","3,004",603,11,339
WHITE,"","13,284","2,439",526,14,317
WILLIAMSON,"","124,864","17,275","9,291",81,"3,832"
WILSON,"","63,924","12,627","3,904",43,830
