Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,445",221,"2,666",7,3,9,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,"1,120",97,"1,217",5,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,547",232,"1,779",9,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,396",346,"2,742",9,1,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,742,82,824,2,,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,110",124,"1,234",7,,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,314,45,359,1,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,101",126,"1,227",4,1,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,008",120,"1,128",6,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"1,827",211,"2,038",6,1,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,368,30,398,7,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,772",193,"2,965",12,4,13,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,879,63,942,3,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,282",99,"1,381",3,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
