"Report Date/Time: 10/28/2016 01:57 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 1"
"","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","ACTIVE","","","","",""
"","","Precincts","Date/Period","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","Apache","45","MAY 2016","27,583","","39","142","8,142","12,681","48,587"
"","","45","P.E. 2016","27,114","","42","145","8,070","12,277","47,648"
"","","45","G.E. 2016","27,638","","53","160","8,241","12,148","48,240"
"","Cochise","49","MAY 2016","19,308","","106","421","27,084","24,981","71,900"
"","","49","P.E. 2016","19,546","","129","471","27,359","25,168","72,673"
"","","49","G.E. 2016","20,121","","147","560","28,296","26,033","75,157"
"","Coconino","71","MAY 2016","29,166","","196","703","18,682","23,238","71,985"
"","","71","P.E. 2016","29,454","","231","722","18,892","23,410","72,709"
"","","71","G.E. 2016","32,404","","292","866","20,490","27,409","81,461"
"","Gila","39","MAY 2016","9,348","","24","171","11,796","8,159","29,498"
"","","39","P.E. 2016","8,861","","26","161","11,559","7,686","28,293"
"","","39","G.E. 2016","9,083","","34","178","12,250","8,021","29,566"
"","Graham","22","MAY 2016","5,620","","7","65","7,721","4,521","17,934"
"","","22","P.E. 2016","5,331","","9","61","7,574","4,085","17,060"
"","","22","G.E. 2016","5,449","","12","77","7,961","4,307","17,806"
"","Greenlee","8","MAY 2016","2,008","","0","27","1,192","1,205","4,432"
"","","8","P.E. 2016","2,007","","0","27","1,264","1,242","4,540"
"","","8","G.E. 2016","2,038","","2","30","1,328","1,304","4,702"
"","La Paz","11","MAY 2016","2,264","","10","36","3,496","3,673","9,479"
"","","11","P.E. 2016","2,062","","10","31","3,285","3,158","8,546"
"","","11","G.E. 2016","2,138","","12","34","3,420","3,280","8,884"
"","Maricopa","724","MAY 2016","555,036","","2,208","16,617","724,414","728,242","2,026,517"
"","","724","P.E. 2016","575,701","","2,817","17,400","738,269","722,271","2,056,458"
"","","724","G.E. 2016","617,685","","3,697","20,654","767,484","752,196","2,161,716"
"","Mohave","24","MAY 2016","19,604","","92","593","45,551","41,890","107,730"
"","","24","P.E. 2016","19,754","","113","614","47,268","41,867","109,616"
"","","24","G.E. 2016","20,557","","141","726","50,390","43,525","115,339"
"","Navajo","14","MAY 2016","24,332","","43","368","19,742","16,939","61,424"
"","","14","P.E. 2016","24,336","","51","386","19,814","17,164","61,751"
"","","14","G.E. 2016","25,196","","63","422","20,789","17,473","63,943"
"","Pima","248","MAY 2016","186,249","","1,330","3,560","152,396","157,048","500,583"
"","","248","P.E. 2016","191,766","","1,562","3,821","155,376","156,785","509,310"
"","","248","G.E. 2016","206,856","","1,773","4,379","163,482","167,780","544,270"
"","Pinal","101","MAY 2016","46,032","","158","1,129","58,137","65,901","171,357"
"","","102","P.E. 2016","48,026","","199","1,265","61,240","67,744","178,474"
"","","102","G.E. 2016","51,049","","256","1,500","65,453","71,204","189,462"
"","Santa Cruz","24","MAY 2016","12,213","","36","131","4,006","8,310","24,696"
"","","24","P.E. 2016","12,568","","36","131","4,079","8,364","25,178"
"","","24","G.E. 2016","13,352","","43","146","4,206","8,529","26,276"
"","Yavapai","44","MAY 2016","26,980","","201","920","57,715","44,444","130,260"
"","","45","P.E. 2016","27,184","","244","951","58,732","43,224","130,335"
"","","45","G.E. 2016","28,624","","302","1,096","61,907","45,461","137,390"
"","Yuma","43","MAY 2016","24,674","","30","457","21,742","30,024","76,927"
"","","44","P.E. 2016","25,340","","43","467","22,242","29,928","78,020"
"","","44","G.E. 2016","29,133","","67","530","23,917","30,607","84,254"
"","TOTALS:","1,467","MAY 2016","990,417","","4,480","25,340","1,161,816","1,171,256","3,353,309"
"","","1,470","P.E. 2016","1,019,050","","5,512","26,653","1,185,023","1,164,373","3,400,611"
"","","1,470","G.E. 2016","1,091,323","","6,894","31,358","1,239,614","1,219,277","3,588,466"
"","PERCENTAGES:","","MAY 2016","29.54","","0.13","0.76","34.65","34.93",""
"","","","P.E. 2016","29.97","","0.16","0.78","34.85","34.24",""
"","","","G.E. 2016","30.41","","0.19","0.87","34.54","33.98",""
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 2"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","ACTIVE","","","","",""
"","Congressional","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Congressional District 1","","","","","","","","",""
"","","","Apache","45","27,638","","53","160","8,241","12,148","48,240"
"","","","Coconino","71","32,404","","292","866","20,490","27,409","81,461"
"","","","Gila","22","5,934","","11","54","2,824","3,398","12,221"
"","","","Graham","22","5,449","","12","77","7,961","4,307","17,806"
"","","","Greenlee","8","2,038","","2","30","1,328","1,304","4,702"
"","","","Maricopa","3","553","","1","6","77","504","1,141"
"","","","Mohave","2","279","","0","2","115","372","768"
"","","","Navajo","14","25,196","","63","422","20,789","17,473","63,943"
"","","","Pima","26","17,546","","91","436","27,951","19,770","65,794"
"","","","Pinal","60","32,296","","138","692","31,900","37,239","102,265"
"","","","Yavapai","7","5,386","","61","158","6,721","7,163","19,489"
"","","","TOTALS","280","154,719","","724","2,903","128,397","131,087","417,830"
"","","Congressional District 2","","","","","","","","",""
"","","","Cochise","49","20,121","","147","560","28,296","26,033","75,157"
"","","","Pima","145","121,472","","1,105","2,842","110,643","103,282","339,344"
"","","","TOTALS","194","141,593","","1,252","3,402","138,939","129,315","414,501"
"","","Congressional District 3","","","","","","","","",""
"","","","Maricopa","46","38,154","","148","983","27,125","43,234","109,644"
"","","","Pima","77","67,838","","577","1,101","24,888","44,728","139,132"
"","","","Pinal","1","152","","0","0","11","62","225"
"","","","Santa Cruz","24","13,352","","43","146","4,206","8,529","26,276"
"","","","Yuma","29","22,191","","48","313","10,774","19,569","52,895"
"","","","TOTALS","177","141,687","","816","2,543","67,004","116,122","328,172"
"","","Congressional District 4","","","","","","","","",""
"","","","Gila","17","3,149","","23","124","9,426","4,623","17,345"
"","","","La Paz","11","2,138","","12","34","3,420","3,280","8,884"
"","","","Maricopa","18","5,089","","31","217","12,401","8,871","26,609"
"","","","Mohave","22","20,278","","141","724","50,275","43,153","114,571"
"","","","Pinal","41","18,601","","118","808","33,542","33,903","86,972"
"","","","Yavapai","38","23,238","","241","938","55,186","38,298","117,901"
"","","","Yuma","15","6,942","","19","217","13,143","11,038","31,359"
"","","","TOTALS","162","79,435","","585","3,062","177,393","143,166","403,641"
"","","Congressional District 5","","","","","","","","",""
"","","","Maricopa","113","97,172","","584","4,305","196,832","149,404","448,297"
"","","","TOTALS","113","97,172","","584","4,305","196,832","149,404","448,297"
"","","Congressional District 6","","","","","","","","",""
"","","","Maricopa","156","110,914","","698","4,282","183,006","155,875","454,775"
"","","","TOTALS","156","110,914","","698","4,282","183,006","155,875","454,775"
"","","Congressional District 7","","","","","","","","",""
"","","","Maricopa","105","127,852","","567","2,647","42,336","106,887","280,289"
"","","","TOTALS","105","127,852","","567","2,647","42,336","106,887","280,289"
"","","Congressional District 8","","","","","","","","",""
"","","","Maricopa","142","107,019","","618","3,532","182,221","150,134","443,524"
"","","","TOTALS","142","107,019","","618","3,532","182,221","150,134","443,524"
"","","Congressional District 9","","","","","","","","",""
"","","","Maricopa","141","130,932","","1,050","4,682","123,486","137,287","397,437"
"","","","TOTALS","141","130,932","","1,050","4,682","123,486","137,287","397,437"
"","","","STATE TOTALS","1,470","1,091,323","","6,894","31,358","1,239,614","1,219,277","3,588,466"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 3"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","ACTIVE","","","","",""
"","Legislative","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 1","","","","","","","","",""
"","","","Maricopa","14","7,901","","52","398","21,715","14,671","44,737"
"","","","Yavapai","35","18,534","","193","801","48,145","31,540","99,213"
"","","","TOTALS","49","26,435","","245","1,199","69,860","46,211","143,950"
"","","Legislative District 2","","","","","","","","",""
"","","","Pima","33","28,339","","144","486","19,653","25,106","73,728"
"","","","Santa Cruz","24","13,352","","43","146","4,206","8,529","26,276"
"","","","TOTALS","57","41,691","","187","632","23,859","33,635","100,004"
"","","Legislative District 3","","","","","","","","",""
"","","","Pima","41","47,426","","504","785","15,832","29,436","93,983"
"","","","TOTALS","41","47,426","","504","785","15,832","29,436","93,983"
"","","Legislative District 4","","","","","","","","",""
"","","","Maricopa","18","8,576","","61","275","10,015","11,433","30,360"
"","","","Pima","17","7,484","","43","77","2,363","4,847","14,814"
"","","","Pinal","1","152","","0","0","11","62","225"
"","","","Yuma","23","19,824","","40","255","8,252","16,692","45,063"
"","","","TOTALS","59","36,036","","144","607","20,641","33,034","90,462"
"","","Legislative District 5","","","","","","","","",""
"","","","La Paz","11","2,138","","12","34","3,420","3,280","8,884"
"","","","Mohave","22","20,278","","141","724","50,275","43,153","114,571"
"","","","TOTALS","33","22,416","","153","758","53,695","46,433","123,455"
"","","Legislative District 6","","","","","","","","",""
"","","","Coconino","45","21,028","","256","679","16,107","20,623","58,693"
