"Report Date/Time: 08/07/2015 01:29 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 1"
"","","","","","2015 July Voter Registration - July 1, 2015","","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","ACTIVE","","","","","",""
"","","Precincts","Date/Period","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","Apache","45","JAN 2015","5","","26,744","33","143","7,350","12,418","46,693"
"","","45","APR 2015","5","","26,681","34","142","7,400","12,626","46,888"
"","","45","JUL 2015","0","","26,680","35","143","7,466","12,857","47,181"
"","Cochise","49","JAN 2015","14","","18,844","112","441","25,743","24,344","69,498"
"","","49","APR 2015","14","","18,632","110","445","25,582","24,435","69,218"
"","","49","JUL 2015","13","","18,641","117","444","25,609","24,847","69,671"
"","Coconino","71","JAN 2015","5","","26,267","235","790","17,893","25,824","71,014"
"","","71","APR 2015","4","","25,892","226","782","17,693","25,388","69,985"
"","","71","JUL 2015","4","","25,768","222","776","17,583","25,412","69,765"
"","Gila","39","JAN 2015","2","","9,779","23","165","11,311","8,677","29,957"
"","","39","APR 2015","2","","9,361","22","162","10,753","8,198","28,498"
"","","39","JUL 2015","2","","9,340","22","164","10,820","8,300","28,648"
"","Graham","22","JAN 2015","2","","5,699","8","59","7,422","4,324","17,514"
"","","22","APR 2015","2","","5,676","8","60","7,473","4,462","17,681"
"","","22","JUL 2015","2","","5,629","8","61","7,413","4,551","17,664"
"","Greenlee","8","JAN 2015","0","","2,102","3","23","1,100","1,151","4,379"
"","","8","APR 2015","0","","2,102","3","25","1,108","1,201","4,439"
"","","8","JUL 2015","0","","2,093","3","25","1,106","1,230","4,457"
"","La Paz","11","JAN 2015","1","","2,203","14","41","3,279","3,512","9,050"
"","","11","APR 2015","1","","2,164","11","37","3,230","3,462","8,905"
"","","11","JUL 2015","1","","2,164","10","38","3,222","3,497","8,932"
"","Maricopa","724","JAN 2015","311","","510,481","2,366","17,171","690,900","712,319","1,933,548"
"","","724","APR 2015","322","","512,024","2,212","17,432","693,749","726,558","1,952,297"
"","","724","JUL 2015","337","","513,655","2,187","17,666","696,627","741,909","1,972,381"
"","Mohave","73","JAN 2015","16","","22,707","108","669","46,422","47,857","117,779"
"","","73","APR 2015","17","","22,109","106","676","45,963","47,558","116,429"
"","","73","JUL 2015","17","","20,526","101","649","43,921","44,747","109,961"
"","Navajo","61","JAN 2015","8","","23,008","44","369","17,506","15,955","56,890"
"","","61","APR 2015","6","","23,078","45","363","17,647","16,412","57,551"
"","","61","JUL 2015","6","","23,155","48","373","17,782","16,752","58,116"
"","Pima","248","JAN 2015","65","","181,113","1,656","4,103","153,220","166,075","506,232"
"","","248","APR 2015","60","","172,777","1,536","3,854","146,481","159,242","483,950"
"","","248","JUL 2015","65","","171,962","1,517","3,833","145,770","160,631","483,778"
"","Pinal","102","JAN 2015","14","","43,186","150","1,129","52,021","63,137","159,637"
"","","102","APR 2015","10","","42,765","153","1,127","51,791","63,928","159,774"
"","","102","JUL 2015","11","","42,833","150","1,140","52,198","65,368","161,700"
"","Santa Cruz","24","JAN 2015","0","","11,432","29","123","3,686","7,612","22,882"
"","","24","APR 2015","0","","11,475","32","124","3,705","7,821","23,157"
"","","24","JUL 2015","0","","11,517","33","126","3,715","8,000","23,391"
"","Yavapai","45","JAN 2015","10","","24,678","238","960","53,901","44,452","124,239"
"","","45","APR 2015","9","","24,308","230","949","53,410","44,751","123,657"
"","","45","JUL 2015","8","","24,281","236","962","53,269","45,197","123,953"
"","Yuma","44","JAN 2015","8","","25,640","32","520","22,237","29,426","77,863"
"","","44","APR 2015","7","","24,239","29","473","20,868","27,645","73,261"
"","","44","JUL 2015","7","","23,876","28","475","20,607","28,096","73,089"
"","TOTALS:","1,566","JAN 2015","461","","933,883","5,051","26,706","1,113,991","1,167,083","3,247,175"
"","","1,566","APR 2015","459","","923,283","4,757","26,651","1,106,853","1,173,687","3,235,690"
"","","1,566","JUL 2015","473","","922,120","4,717","26,875","1,107,108","1,191,394","3,252,687"
"","PERCENTAGES:","","JAN 2015","0.01","","28.76","0.16","0.82","34.31","35.94",""
"","","","APR 2015","0.01","","28.53","0.15","0.82","34.21","36.27",""
"","","","JUL 2015","0.01","","28.35","0.15","0.83","34.04","36.63",""
"Report Date/Time: 08/07/2015 01:29 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 2"
"","","","","","","2015 July Voter Registration - July 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Congressional","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Congressional District 1","","","","","","","","","",""
"","","","Apache","45","0","","26,680","35","143","7,466","12,857","47,181"
"","","","Coconino","71","4","","25,768","222","776","17,583","25,412","69,765"
"","","","Gila","22","1","","6,337","8","52","2,537","3,640","12,575"
"","","","Graham","22","2","","5,629","8","61","7,413","4,551","17,664"
"","","","Greenlee","8","0","","2,093","3","25","1,106","1,230","4,457"
"","","","Maricopa","3","0","","442","1","8","58","434","943"
"","","","Mohave","2","0","","288","0","2","120","328","738"
"","","","Navajo","61","6","","23,155","48","373","17,782","16,752","58,116"
"","","","Pima","26","3","","14,617","76","353","24,429","18,777","58,255"
"","","","Pinal","60","4","","27,201","79","563","25,816","33,422","87,085"
"","","","Yavapai","7","1","","4,359","39","154","5,987","7,301","17,841"
"","","","TOTALS","327","21","","136,569","519","2,510","110,297","124,704","374,620"
"","","Congressional District 2","","","","","","","","","",""
"","","","Cochise","49","13","","18,641","117","444","25,609","24,847","69,671"
"","","","Pima","145","42","","101,416","948","2,464","99,073","99,284","303,227"
"","","","TOTALS","194","55","","120,057","1,065","2,908","124,682","124,131","372,898"
"","","Congressional District 3","","","","","","","","","",""
"","","","Maricopa","46","11","","30,285","77","799","23,583","40,188","94,943"
"","","","Pima","77","20","","55,929","493","1,016","22,268","42,570","122,296"
"","","","Pinal","1","0","","132","0","0","11","53","196"
"","","","Santa Cruz","24","0","","11,517","33","126","3,715","8,000","23,391"
"","","","Yuma","29","3","","17,901","18","282","9,461","17,735","45,400"
"","","","TOTALS","177","34","","115,764","621","2,223","59,038","108,546","286,226"
"","","Congressional District 4","","","","","","","","","",""
"","","","Gila","17","1","","3,003","14","112","8,283","4,660","16,073"
"","","","La Paz","11","1","","2,164","10","38","3,222","3,497","8,932"
"","","","Maricopa","18","6","","4,176","15","174","9,960","8,310","22,641"
"","","","Mohave","71","17","","20,238","101","647","43,801","44,419","109,223"
"","","","Pinal","41","7","","15,500","71","577","26,371","31,893","74,419"
"","","","Yavapai","38","7","","19,922","197","808","47,282","37,896","106,112"
"","","","Yuma","15","4","","5,975","10","193","11,146","10,361","27,689"
"","","","TOTALS","211","43","","70,978","418","2,549","150,065","141,036","365,089"
"","","Congressional District 5","","","","","","","","","",""
"","","","Maricopa","113","80","","82,079","332","3,377","178,132","150,071","414,071"
"","","","TOTALS","113","80","","82,079","332","3,377","178,132","150,071","414,071"
"","","Congressional District 6","","","","","","","","","",""
"","","","Maricopa","156","68","","94,395","443","3,618","167,955","154,097","420,576"
"","","","TOTALS","156","68","","94,395","443","3,618","167,955","154,097","420,576"
"","","Congressional District 7","","","","","","","","","",""
"","","","Maricopa","105","39","","101,495","314","2,606","38,735","101,005","244,194"
"","","","TOTALS","105","39","","101,495","314","2,606","38,735","101,005","244,194"
"","","Congressional District 8","","","","","","","","","",""
"","","","Maricopa","142","61","","93,083","322","2,955","160,857","146,777","404,055"
"","","","TOTALS","142","61","","93,083","322","2,955","160,857","146,777","404,055"
"","","Congressional District 9","","","","","","","","","",""
"","","","Maricopa","141","72","","107,700","683","4,129","117,347","141,027","370,958"
"","","","TOTALS","141","72","","107,700","683","4,129","117,347","141,027","370,958"
"","","","STATE TOTALS","1,566","473","","922,120","4,717","26,875","1,107,108","1,191,394","3,252,687"
"Report Date/Time: 08/07/2015 01:29 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 3"
"","","","","","","2015 July Voter Registration - July 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 1","","","","","","","","","",""
"","","","Maricopa","14","6","","6,782","34","319","18,794","14,877","40,812"
"","","","Yavapai","35","5","","15,897","167","708","41,088","31,004","88,869"
"","","","TOTALS","49","11","","22,679","201","1,027","59,882","45,881","129,681"
"","","Legislative District 2","","","","","","","","","",""
"","","","Pima","33","15","","23,191","97","443","17,129","23,715","64,590"
"","","","Santa Cruz","24","0","","11,517","33","126","3,715","8,000","23,391"
