"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Andover ,Tolland ,2 ,536 11 547 ,665 9 674 ,27 ,1 ,28 G IT L,836 ,35 ,871 ,"2,064 ",56 ,"2,120"
Ansonia ,New Haven ,3 ,"1262 49 1,311 ","2939 130 3,069 ",35 ,0 ,35 G IT WF,3850 ,178 ,"4,028 ","8,086 ",357 ,"8,443"
Ashford ,Windham ,2 ,488 38 526 ,917 71 988 ,27 ,2 ,29 G IT L,1133 ,171 ,"1,304 ","2,565 ",282 ,"2,847"
Avon ,Hartford ,5 ,"3727 334 4,061 ","3166 358 3,524 ",55 ,6 ,61 G IT L WF,4390 ,753 ,"5,143 ","11,338 ","1,451 ","12,789"
Barkhamsted ,Litchfield ,1 ,725 12 737 ,659 27 686 ,23 ,1 ,24 G IT L,1154 ,48 ,"1,202 ","2,561 ",88 ,"2,649"
Beacon Falls ,New Haven ,3 ,909 33 942 ,"976 35 1,011 ",44 ,0 ,44 G IT L,1957 ,91 ,"2,048 ","3,886 ",159 ,"4,045"
Berlin ,Hartford ,1 ,"3018 156 3,174 ","4658 267 4,925 ",59 ,5 ,64 G IT L WF,4939 ,479 ,"5,418 ","12,674 ",907 ,"13,581"
Bethany ,New Haven ,3 ,"1027 37 1,064 ","1008 46 1,054 ",48 ,2 ,50 G IT L,1849 ,93 ,"1,942 ","3,932 ",178 ,"4,110"
Bethel ,Fairfield ,5 ,"3005 62 3,067 ","2847 76 2,923 ",168 ,4 ,172 G IT L PRO WF,5249 ,203 ,"5,452 ","11,269 ",345 ,"11,614"
Bethlehem ,Litchfield ,5 ,774 48 822 ,576 72 648 ,27 ,3 ,30 G IT L,1067 ,231 ,"1,298 ","2,444 ",354 ,"2,798"
Bloomfield ,Hartford ,1 ,"1284 242 1,526 ","7514 1225 8,739 ",87 ,5 ,92 G IT L WF,3526 ,1143 ,"4,669 ","12,411 ","2,615 ","15,026"
Bolton ,Tolland ,2 ,876 49 925 ,"947 85 1,032 ",38 ,5 ,43 G IT L,1325 ,140 ,"1,465 ","3,186 ",279 ,"3,465"
Bozrah ,New London ,2 ,303 28 331 ,580 26 606 ,45 ,3 ,48 IT L,729 ,65 ,794 ,"1,657 ",122 ,"1,779"
Branford ,New Haven ,3 ,"2859 113 2,972 ","5870 232 6,102 ",85 ,2 ,87 G I IT L WF,8968 ,289 ,"9,257 ","17,782 ",636 ,"18,418"
Bridgeport ,Fairfield ,4 ,"3583 1004 4,587 ","42176 8627 50,803 ",270 ,32 ,302 G I IT L RF WF,15474 ,5348 ,"20,822 ","61,503 ","15,011 ","76,514"
Bridgewater ,Litchfield ,5 ,394 2 396 ,378 3 381 ,14 ,0 ,14 IT L,462 ,2 ,464 ,"1,248 ",7 ,"1,255"
Bristol ,Hartford ,1 ,"5712 387 6,099 ","12254 1012 13,266 ",385 ,12 ,397 G I IT L WF,12941 ,1888 ,"14,829 ","31,292 ","3,299 ","34,591"
Brookfield ,Fairfield ,5 ,"3383 283 3,666 ","2097 225 2,322 ",209 ,24 ,233 ABP G IT L UIT,4284 ,711 ,"4,995 ","9,973 ","1,243 ","11,216"
Brooklyn ,Windham ,2 ,"991 31 1,022 ","1300 38 1,338 ",81 ,2 ,83 G IT L WF,2379 ,97 ,"2,476 ","4,751 ",168 ,"4,919"
Burlington ,Hartford ,5 ,"1574 81 1,655 ","1473 116 1,589 ",53 ,5 ,58 G IT L,2452 ,284 ,"2,736 ","5,552 ",486 ,"6,038"
Canaan ,Litchfield ,5 ,186 6 192 ,255 13 268 ,4 ,0 ,4 G IT,297 ,16 ,313 ,742 ,35 ,777
Canterbury ,Windham ,2 ,963 26 989 ,730 31 761 ,44 ,0 ,44 CF G IT L WF,1518 ,107 ,"1,625 ","3,255 ",164 ,"3,419"
Canton ,Hartford ,5 ,"2088 80 2,168 ","2138 95 2,233 ",75 ,8 ,83 G IT L,2703 ,169 ,"2,872 ","7,004 ",352 ,"7,356"
Chaplin ,Windham ,2 ,425 4 429 ,368 20 388 ,4 ,0 ,4 G IT,494 ,25 ,519 ,"1,291 ",49 ,"1,340"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Cheshire ,New Haven ,5 ,"4150 404 4,554 ","4434 469 4,903 ",140 ,27 ,167 G IT L WF,8031 ,1470 ,"9,501 ","16,755 ","2,370 ","19,125"
Chester ,Middlesex ,2 ,463 29 492 ,882 76 958 ,25 ,7 ,32 G IT L,980 ,124 ,"1,104 ","2,350 ",236 ,"2,586"
Clinton ,Middlesex ,2 ,"2153 137 2,290 ","2473 79 2,552 ",136 ,7 ,143 G IT L,4056 ,319 ,"4,375 ","8,818 ",542 ,"9,360"
Colchester ,New London ,2 ,"2158 88 2,246 ","2917 95 3,012 ",109 ,4 ,113 G IT L,4876 ,175 ,"5,051 ","10,060 ",362 ,"10,422"
Colebrook ,Litchfield ,1 ,259 21 280 ,244 16 260 ,17 ,1 ,18 G IT L WF,449 ,43 ,492 ,969 ,81 ,"1,050"
Columbia ,Tolland ,2 ,829 19 848 ,"1148 29 1,177 ",135 ,5 ,140 G IT L WF,1396 ,59 ,"1,455 ","3,508 ",112 ,"3,620"
Cornwall ,Litchfield ,5 ,185 9 194 ,396 25 421 ,7 ,0 ,7 G L,383 ,39 ,422 ,971 ,73 ,"1,044"
Coventry ,Tolland ,2 ,"1565 106 1,671 ","2101 172 2,273 ",57 ,5 ,62 G IT L WF,3477 ,408 ,"3,885 ","7,200 ",691 ,"7,891"
Cromwell ,Middlesex ,1 ,"1926 61 1,987 ","3080 113 3,193 ",94 ,7 ,101 G IT L,3980 ,187 ,"4,167 ","9,080 ",368 ,"9,448"
Danbury ,Fairfield ,5 ,"6726 226 6,952 ","10500 525 11,025 ",510 ,27 ,537 G IT L WF,16392 ,873 ,"17,265 ","34,128 ","1,651 ","35,779"
Darien ,Fairfield ,4 ,"5781 309 6,090 ","2236 170 2,406 ",56 ,1 ,57 G IT L,4131 ,462 ,"4,593 ","12,204 ",942 ,"13,146"
Deep River ,Middlesex ,2 ,601 16 617 ,"1017 35 1,052 ",26 ,5 ,31 G IT L WF,1447 ,67 ,"1,514 ","3,091 ",123 ,"3,214"
Derby ,New Haven ,3 ,799 140 939 ,"2129 415 2,544 ",52 ,4 ,56 G IT L,2313 ,756 ,"3,069 ","5,293 ","1,315 ","6,608"
Durham ,Middlesex ,3 ,"1429 40 1,469 ","1155 50 1,205 ",38 ,1 ,39 G IT L,2348 ,92 ,"2,440 ","4,970 ",183 ,"5,153"
East Granby ,Hartford ,1 ,974 23 997 ,949 31 980 ,39 ,0 ,39 G IT L WF,1500 ,65 ,"1,565 ","3,462 ",119 ,"3,581"
East Haddam ,Middlesex ,2 ,"1371 35 1,406 ","1708 47 1,755 ",53 ,5 ,58 G IT L WF,2678 ,90 ,"2,768 ","5,810 ",177 ,"5,987"
East Hampton ,Middlesex ,2 ,"1675 132 1,807 ","2294 182 2,476 ",100 ,6 ,106 CHA G IT L WF,3646 ,523 ,"4,169 ","7,715 ",843 ,"8,558"
East Hartford ,Hartford ,1 ,"2479 202 2,681 ","12109 1029 13,138 ",151 ,9 ,160 F G IT L WF,10397 ,1240 ,"11,637 ","25,136 ","2,480 ","27,616"
East Haven ,New Haven ,3 ,"2647 151 2,798 ","5370 398 5,768 ",164 ,7 ,171 G IT L WF,6958 ,699 ,"7,657 ","15,139 ","1,255 ","16,394"
East Lyme ,New London ,2 ,"2545 239 2,784 ","3268 404 3,672 ",44 ,4 ,48 G IT L WF,4899 ,922 ,"5,821 ","10,756 ","1,569 ","12,325"
East Windsor ,Hartford ,1 ,"1422 45 1,467 ","2220 70 2,290 ",59 ,1 ,60 G IT L WF,3356 ,117 ,"3,473 ","7,057 ",233 ,"7,290"
Eastford ,Windham ,4 ,404 8 412 ,285 5 290 ,7 ,0 ,7 G IT L WF,453 ,14 ,467 ,"1,149 ",27 ,"1,176"
Easton ,Fairfield ,4 ,"1636 90 1,726 ","1132 64 1,196 ",47 ,4 ,51 G IT L WF,2158 ,152 ,"2,310 ","4,973 ",310 ,"5,283"
Ellington ,Tolland ,2 ,"2352 126 2,478 ","2188 167 2,355 ",119 ,11 ,130 G IT L,4565 ,340 ,"4,905 ","9,224 ",644 ,"9,868"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Enfield ,Hartford ,2 ,"4419 802 5,221 ","7303 1371 8,674 ",405 ,46 ,451 ETP G I IT L WF,8695 ,2812 ,"11,507 ","20,822 ","5,031 ","25,853"
Essex ,Middlesex ,2 ,"1326 49 1,375 ","1419 51 1,470 ",41 ,1 ,42 G IT L,1823 ,82 ,"1,905 ","4,609 ",183 ,"4,792"
Fairfield ,Fairfield ,4 ,"10485 482 10,967 ","10119 599 10,718 ",377 ,27 ,404 G I IT L RF WF,15282 ,964 ,"16,246 ","36,263 ","2,072 ","38,335"
Farmington ,Hartford ,5 ,"4355 221 4,576 ","5108 272 5,380 ",180 ,10 ,190 G I IT L WF,7376 ,418 ,"7,794 ","17,019 ",921 ,"17,940"
Franklin ,New London ,2 ,296 13 309 ,336 23 359 ,10 ,2 ,12 G IT L,530 ,54 ,584 ,"1,172 ",92 ,"1,264"
Glastonbury ,Hartford ,"1,2 ","5505 374 5,879 ","6554 668 7,222 ",161 ,18 ,179 G IT L,8469 ,976 ,"9,445 ","20,689 ","2,036 ","22,725"
Goshen ,Litchfield ,5 ,741 7 748 ,493 6 499 ,33 ,0 ,33 G IT L WF,771 ,12 ,783 ,"2,038 ",25 ,"2,063"
Granby ,Hartford ,1 ,"2200 162 2,362 ","1794 147 1,941 ",86 ,15 ,101 G IT L,2813 ,340 ,"3,153 ","6,893 ",664 ,"7,557"
Greenwich ,Fairfield ,4 ,"11719 1734 13,453 ","7434 1637 9,071 ",332 ,80 ,412 G I IT L WF,10964 ,3192 ,"14,156 ","30,449 ","6,643 ","37,092"
Griswold ,New London ,2 ,"1301 43 1,344 ","2098 126 2,224 ",117 ,8 ,125 G IT L WF,2913 ,211 ,"3,124 ","6,429 ",388 ,"6,817"
Groton ,New London ,2 ,"3300 750 4,050 ","4884 1201 6,085 ",107 ,26 ,133 G IT L WF,7976 ,2753 ,"10,729 ","16,267 ","4,730 ","20,997"
Guilford ,New Haven ,3 ,"3094 335 3,429 ","4714 552 5,266 ",98 ,7 ,105 G I IT L RF,5806 ,1129 ,"6,935 ","13,712 ","2,023 ","15,735"
Haddam ,Middlesex ,2 ,"1291 63 1,354 ","1669 74 1,743 ",37 ,1 ,38 G I IT L RF,2661 ,193 ,"2,854 ","5,658 ",331 ,"5,989"
Hamden ,New Haven ,3 ,"3436 564 4,000 ","13958 2220 16,178 ",284 ,41 ,325 G I IT L SGP WF,10617 ,2773 ,"13,390 ","28,295 ","5,598 ","33,893"
Hampton ,Windham ,2 ,313 18 331 ,381 46 427 ,16 ,2 ,18 G IT L,464 ,76 ,540 ,"1,174 ",142 ,"1,316"
Hartford ,Hartford ,1 ,"1723 321 2,044 ","36034 5226 41,260 ",336 ,31 ,367 G IT L WF,11771 ,2241 ,"14,012 ","49,864 ","7,819 ","57,683"
Hartland ,Hartford ,1 ,597 28 625 ,326 7 333 ,26 ,1 ,27 G IT,549 ,21 ,570 ,"1,498 ",57 ,"1,555"
