Adair,"1,028","1,934","2,039",16,"5,017",72,70,157,0,299
Adams,598,984,"1,179",6,"2,767",29,36,105,0,170
Allamakee,"2,157","4,263","3,108",24,"9,552",121,134,263,0,518
Appanoose,"2,409","2,936","3,020",20,"8,385",203,185,381,1,770
Audubon,984,"2,046","1,211",15,"4,256",36,53,103,0,192
Benton,"4,078","5,988","7,111",67,"17,244",246,208,582,3,"1,039"
Black Hawk,"30,746","22,020","30,227",572,"83,565","1,999","1,110","2,538",42,"5,689"
Boone,"5,394","5,882","6,829",95,"18,200",253,311,613,1,"1,178"
Bremer,"4,021","5,307","7,271",62,"16,661",213,219,506,10,948
Buchanan,"3,660","3,323","6,385",33,"13,401",156,129,475,1,761
Buena Vista,"3,048","4,184","4,534",44,"11,810",184,188,290,2,664
Butler,"1,735","4,577","3,404",27,"9,743",81,101,191,0,373
Calhoun,"1,309","2,554","2,532",18,"6,413",92,95,218,4,409
Carroll,"3,802","4,219","6,052",64,"14,137",221,191,545,3,960
Cass,"1,521","4,851","2,946",26,"9,344",112,244,342,0,698
Cedar,"3,173","3,902","4,586",66,"11,727",162,139,297,3,601
Cerro Gordo,"9,023","8,411","12,398",76,"29,908",606,396,"1,126",4,"2,132"
Cherokee,"1,596","3,768","2,675",24,"8,063",133,171,352,2,658
Chickasaw,"2,604","2,483","3,418",26,"8,531",114,114,296,1,525
Clarke,"1,557","1,867","2,183",21,"5,628",106,109,269,1,485
Clay,"1,993","5,778","3,467",34,"11,272",237,276,500,1,"1,014"
Clayton,"3,477","3,532","4,495",33,"11,537",169,146,338,3,656
Clinton,"10,173","7,815","13,390",108,"31,486",982,401,"1,350",7,"2,740"
Crawford,"2,495","3,312","3,513",23,"9,343",183,162,348,2,695
Dallas,"12,777","19,761","19,665",266,"52,469",929,"1,457","2,284",11,"4,681"
Davis,"1,735","1,741","1,385",12,"4,873",116,76,169,1,362
Decatur,"1,458","1,795","1,424",20,"4,697",64,53,93,1,211
Delaware,"2,398","4,452","4,561",27,"11,438",79,109,189,0,377
Des Moines,"10,719","6,700","8,795",126,"26,340",781,422,968,6,"2,177"
Dickinson,"2,468","5,516","4,669",43,"12,696",145,219,303,5,672
Dubuque,"26,287","16,444","21,585",319,"64,635","1,767",994,"2,138",30,"4,929"
Emmet,"1,819","1,821","2,809",16,"6,465",238,167,534,0,939
Fayette,"3,548","4,088","4,195",42,"11,873",191,116,300,4,611
Floyd,"3,033","2,748","4,713",25,"10,519",185,126,336,6,653
Franklin,"1,226","3,204","2,124",13,"6,567",54,80,191,1,326
Fremont,"1,025","2,234","1,521",15,"4,795",147,203,308,1,659
Greene,"1,629","2,453","2,233",31,"6,346",98,118,236,2,454
Grundy,"1,427","4,136","3,056",23,"8,642",66,115,229,3,413
Guthrie,"1,684","2,806","2,975",33,"7,498",104,137,289,0,530
Hamilton,"2,388","4,028","3,466",37,"9,919",137,168,291,2,598
Hancock,"1,493","3,314","2,742",19,"7,568",104,123,290,3,520
Hardin,"2,553","4,714","3,854",45,"11,166",236,209,417,3,865
Harrison,"2,110","3,780","2,434",44,"8,368",34,50,62,1,147
Henry,"2,811","5,190","4,971",49,"13,021",382,351,707,2,"1,442"
Howard,"1,779","1,458","2,671",13,"5,921",103,86,274,0,463
Humboldt,"1,218","2,693","2,385",12,"6,308",90,100,208,0,398
Ida,815,"2,297","1,690",16,"4,818",45,99,188,0,332
Iowa,"2,703","3,996","4,882",45,"11,626",137,209,344,2,692
Jackson,"5,134","3,217","5,662",31,"14,044",266,155,537,5,963
Jasper,"8,557","7,414","8,535",68,"24,574",462,384,851,4,"1,701"
