CID,STATE,COUNTY,PBUSH,PGORE,PNADER,POTHER,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE
1,Alabama,Autauga,.6969,.2872,.0093,.0066,11993,4942,160,43,51,9,5,5,.,.,.,.,.,.,.,.,.
2,Alabama,Baldwin,.7237,.2478,.0183,.0102,40872,13997,1033,287,226,23,28,14,.,.,.,.,.,.,.,.,.
3,Alabama,Barbour,.4991,.4902,.0044,.0063,5096,5188,46,27,27,6,3,2,.,.,.,.,.,.,.,.,.
4,Alabama,Bibb,.6017,.3816,.0073,.0093,4273,2710,52,36,20,9,.,1,.,.,.,.,.,.,.,.,.
5,Alabama,Blount,.7048,.2769,.0086,.0097,12667,4977,154,104,51,10,5,5,.,.,.,.,.,.,.,.,.
6,Alabama,Bullock,.2922,.6923,.0049,.0106,1433,3395,24,8,34,5,1,4,.,.,.,.,.,.,.,.,.
7,Alabama,Butler,.5289,.4621,.0046,.0044,4127,3606,36,9,19,3,3,.,.,.,.,.,.,.,.,.,.
8,Alabama,Calhoun,.5733,.4056,.0124,.0088,22306,15781,481,153,149,18,8,13,.,.,.,.,.,.,.,.,.
9,Alabama,Chambers,.5101,.4746,.0080,.0073,6037,5616,95,35,38,5,3,5,.,.,.,.,.,.,.,.,.
10,Alabama,Cherokee,.5310,.4470,.0098,.0121,4154,3497,77,58,27,3,2,5,.,.,.,.,.,.,.,.,.
11,Alabama,Chilton,.6670,.3184,.0061,.0085,10066,4806,92,70,53,1,3,1,.,.,.,.,.,.,.,.,.
12,Alabama,Choctaw,.4882,.5027,.0045,.0046,3600,3707,33,17,8,3,4,2,.,.,.,.,.,.,.,.,.
13,Alabama,Clarke,.5569,.4352,.0031,.0048,5988,4679,33,28,16,4,2,2,.,.,.,.,.,.,.,.,.
14,Alabama,Clay,.6322,.3476,.0088,.0114,3719,2045,52,30,32,4,.,1,.,.,.,.,.,.,.,.,.
15,Alabama,Cleburne,.6546,.3268,.0077,.0110,3333,1664,39,32,21,.,3,.,.,.,.,.,.,.,.,.,.
16,Alabama,Coffee,.6439,.3382,.0100,.0078,9938,5220,155,61,40,17,2,1,.,.,.,.,.,.,.,.,.
17,Alabama,Colbert,.4885,.4896,.0097,.0122,10518,10543,208,201,38,9,11,4,.,.,.,.,.,.,.,.,.
18,Alabama,Conecuh,.4862,.5014,.0063,.0061,2699,2783,35,21,6,2,2,3,.,.,.,.,.,.,.,.,.
19,Alabama,Coosa,.5216,.4607,.0074,.0103,2382,2104,34,13,23,6,1,4,.,.,.,.,.,.,.,.,.
20,Alabama,Covington,.6583,.3262,.0090,.0065,8961,4440,123,42,32,9,3,3,.,.,.,.,.,.,.,.,.
21,Alabama,Crenshaw,.5825,.4033,.0083,.0058,2793,1934,40,16,9,2,1,.,.,.,.,.,.,.,.,.,.
22,Alabama,Cullman,.6488,.3305,.0096,.0111,19157,9758,282,216,59,31,17,5,.,.,.,.,.,.,.,.,.
23,Alabama,Dale,.6702,.3104,.0119,.0075,10593,4906,188,56,27,26,6,4,.,.,.,.,.,.,.,.,.
24,Alabama,Dallas,.3986,.5940,.0034,.0040,7360,10967,63,19,38,10,3,4,.,.,.,.,.,.,.,.,.
25,Alabama,DeKalb,.6323,.3478,.0086,.0112,12827,7056,175,88,124,9,4,2,.,.,.,.,.,.,.,.,.
26,Alabama,Elmore,.7048,.2794,.0089,.0068,16777,6652,212,53,87,4,11,8,.,.,.,.,.,.,.,.,.
27,Alabama,Escambia,.5982,.3879,.0067,.0072,6975,4523,78,57,13,7,4,3,.,.,.,.,.,.,.,.,.
28,Alabama,Etowah,.5359,.4430,.0111,.0100,21087,17433,435,239,117,17,14,6,.,.,.,.,.,.,.,.,.
29,Alabama,Fayette,.5868,.3924,.0077,.0131,4582,3064,60,68,21,8,5,.,.,.,.,.,.,.,.,.,.
30,Alabama,Franklin,.5511,.4317,.0065,.0107,6119,4793,72,85,17,5,7,5,.,.,.,.,.,.,.,.,.
31,Alabama,Geneva,.6892,.2897,.0101,.0110,6588,2769,97,46,38,16,3,2,.,.,.,.,.,.,.,.,.
32,Alabama,Greene,.1934,.7971,.0055,.0041,850,3504,24,3,8,4,1,2,.,.,.,.,.,.,.,.,.
33,Alabama,Hale,.3860,.6017,.0056,.0067,2984,4652,43,25,17,4,1,5,.,.,.,.,.,.,.,.,.
34,Alabama,Henry,.5848,.4013,.0069,.0069,4054,2782,48,18,18,4,4,4,.,.,.,.,.,.,.,.,.
35,Alabama,Houston,.6910,.2936,.0080,.0074,22150,9412,257,121,88,9,13,7,.,.,.,.,.,.,.,.,.
36,Alabama,Jackson,.4733,.5063,.0103,.0101,8475,9066,184,118,48,5,4,6,.,.,.,.,.,.,.,.,.
37,Alabama,Jefferson,.5059,.4745,.0124,.0073,138491,129889,3393,670,987,92,160,81,.,.,.,.,.,.,.,.,.
38,Alabama,Lamar,.6166,.3660,.0079,.0095,4470,2653,57,50,6,6,6,1,.,.,.,.,.,.,.,.,.
39,Alabama,Lauderdale,.5439,.4317,.0110,.0134,17478,13875,354,296,78,23,23,10,.,.,.,.,.,.,.,.,.
40,Alabama,Lawrence,.4654,.5167,.0052,.0127,5671,6296,63,111,22,11,7,4,.,.,.,.,.,.,.,.,.
41,Alabama,Lee,.5863,.3809,.0234,.0095,22433,14574,895,68,233,17,33,11,.,.,.,.,.,.,.,.,.
42,Alabama,Limestone,.6010,.3805,.0082,.0104,14204,8992,193,137,78,13,11,6,.,.,.,.,.,.,.,.,.
43,Alabama,Lowndes,.2624,.7299,.0029,.0048,1638,4557,18,11,11,3,1,4,.,.,.,.,.,.,.,.,.
44,Alabama,Macon,.1235,.8680,.0035,.0050,1091,7665,31,10,20,6,2,6,.,.,.,.,.,.,.,.,.
45,Alabama,Madison,.5485,.4253,.0166,.0096,62151,48199,1885,322,567,65,82,47,.,.,.,.,.,.,.,.,.
46,Alabama,Marengo,.4881,.5039,.0042,.0039,4690,4841,40,19,12,4,.,2,.,.,.,.,.,.,.,.,.
47,Alabama,Marion,.5878,.3913,.0106,.0103,6910,4600,125,77,25,7,5,7,.,.,.,.,.,.,.,.,.
48,Alabama,Marshall,.6104,.3709,.0091,.0096,17084,10381,256,157,82,10,10,9,.,.,.,.,.,.,.,.,.
49,Alabama,Mobile,.5593,.4196,.0113,.0097,78162,58640,1585,532,727,30,43,26,.,.,.,.,.,.,.,.,.
50,Alabama,Monroe,.5757,.4179,.0028,.0036,5153,3741,25,19,11,.,2,.,.,.,.,.,.,.,.,.,.
51,Alabama,Montgomery,.4834,.5026,.0084,.0056,38827,40371,677,113,293,10,20,17,.,.,.,.,.,.,.,.,.
52,Alabama,Morgan,.6039,.3763,.0105,.0093,25774,16060,450,214,118,31,28,6,.,.,.,.,.,.,.,.,.
53,Alabama,Perry,.2993,.6947,.0031,.0029,1732,4020,18,7,7,1,.,2,.,.,.,.,.,.,.,.,.
54,Alabama,Pickens,.5042,.4851,.0046,.0061,4306,4143,39,23,20,4,4,1,.,.,.,.,.,.,.,.,.
55,Alabama,Pike,.5745,.4132,.0071,.0051,6058,4357,75,17,27,4,3,3,.,.,.,.,.,.,.,.,.
56,Alabama,Randolph,.5892,.3907,.0076,.0125,4666,3094,60,48,39,8,.,4,.,.,.,.,.,.,.,.,.
