"","State","County","Year","Month","D","G","L","N","O","R","Total","dPct","rPct","leanD","leanR","unaffiliatedPct","otherPct","dDRPct","rDRPct","CountyName","StateName","StateAbbr","YearMonth"
"1","06",6001,"2006","11",394947,14243,3187,155335,21575,125203,714490,0.552767708435387,0.175234083052247,3.15445316805508,0.317012156061446,0.217406821649008,0.0301963638399418,0.759294434297799,0.240705565702201,"Alameda","California","CA","2006-11"
"2","06",6003,"2006","11",276,15,4,175,29,280,779,0.354300385109114,0.359435173299101,0.985714285714286,1.01449275362319,0.224646983311938,0.0372272143774069,0.496402877697842,0.503597122302158,"Alpine","California","CA","2006-11"
"3","06",6005,"2006","11",6952,146,130,2544,798,9330,19900,0.349346733668342,0.468844221105528,0.745123258306538,1.34205983889528,0.127839195979899,0.0401005025125628,0.426974573148262,0.573025426851738,"Amador","California","CA","2006-11"
"4","06",6007,"2006","11",39703,2220,789,19874,4391,47794,114771,0.345932334823257,0.416429237350899,0.830710967903921,1.2037881268418,0.173162209965932,0.0382587935976858,0.453764129055853,0.546235870944147,"Butte","California","CA","2006-11"
"5","06",6009,"2006","11",9096,315,315,3979,902,11967,26574,0.34228945585911,0.450327387672161,0.760090248182502,1.31563324538259,0.149732821554903,0.0339429517573568,0.431847315197265,0.568152684802735,"Calaveras","California","CA","2006-11"
"6","06",6011,"2006","11",2868,22,32,1044,226,3729,7921,0.362075495518243,0.47077389218533,0.769106999195495,1.30020920502092,0.131801540209569,0.0285317510415352,0.434743065029559,0.565256934970441,"Colusa","California","CA","2006-11"
"7","06",6013,"2006","11",237701,4365,2186,86810,14118,147070,492250,0.482886744540376,0.29877094972067,1.61624396545863,0.618718474049331,0.176353478923311,0.0286805485017776,0.617772649186139,0.382227350813861,"Contra Costa","California","CA","2006-11"
"8","06",6015,"2006","11",4710,121,95,2294,557,4973,12750,0.369411764705882,0.390039215686275,0.947114417856425,1.05583864118896,0.179921568627451,0.0436862745098039,0.486419498089435,0.513580501910565,"Del Norte","California","CA","2006-11"
"9","06",6017,"2006","11",32255,1172,729,18085,3818,48648,104707,0.308050082611478,0.464610771008624,0.663028284821575,1.50823128197179,0.172720066471201,0.0364636557250232,0.398687316910374,0.601312683089626,"El Dorado","California","CA","2006-11"
"10","06",6019,"2006","11",127793,1581,1059,37256,6435,148130,322254,0.396559856510703,0.459668460282882,0.862708431782893,1.1591401719969,0.115610667361771,0.0199687203262023,0.463147327334075,0.536852672665925,"Fresno","California","CA","2006-11"
"11","06",6021,"2006","11",3867,43,39,1778,384,5592,11703,0.330428095360164,0.477826198410664,0.691523605150215,1.44608223429015,0.151926856361617,0.0328120994616765,0.408816999682842,0.591183000317158,"Glenn","California","CA","2006-11"
"12","06",6023,"2006","11",32426,4141,702,15551,2450,22983,78253,0.414373889818921,0.293701199953995,1.41086890310229,0.708783075309936,0.19872720534676,0.0313087038196619,0.585211788698587,0.414788211301413,"Humboldt","California","CA","2006-11"
"13","06",6025,"2006","11",28488,119,170,7766,1492,14624,52659,0.540990144134906,0.277711312406236,1.9480306345733,0.513338949733221,0.147477164397349,0.0283332383828026,0.660790499164966,0.339209500835034,"Imperial","California","CA","2006-11"
