"office","state","jurisdiction","fipscode","clinton","trump","johnson","stein","other","totalvotes","dem.two.party"
"President","AK","District 1",NA,2573,3180,416,143,326,6638,0.447244915696159
"President","AK","District 10",NA,1808,6255,493,135,349,9040,0.224234156021332
"President","AK","District 11",NA,2142,6444,572,124,407,9689,0.249475890985325
"President","AK","District 12",NA,1928,6629,548,98,340,9543,0.225312609559425
"President","AK","District 13",NA,1684,4028,480,81,260,6533,0.294817927170868
"President","AK","District 14",NA,3043,5978,802,103,494,10420,0.337324021727081
"President","AK","District 15",NA,1828,2525,335,85,209,4982,0.419940271077418
"President","AK","District 16",NA,3294,3203,464,157,318,7436,0.507003232261044
"President","AK","District 17",NA,3290,2618,419,146,315,6788,0.556872037914692
"President","AK","District 18",NA,3909,2684,424,136,249,7402,0.592901562263006
"President","AK","District 19",NA,2669,1636,190,105,192,4792,0.619976771196283
"President","AK","District 2",NA,1585,3188,371,94,254,5492,0.33207626230882
"President","AK","District 20",NA,4151,2187,395,134,273,7140,0.654938466393184
"President","AK","District 21",NA,4224,3479,526,134,284,8647,0.548357782682072
"President","AK","District 22",NA,3270,4203,446,121,332,8372,0.437575270975512
"President","AK","District 23",NA,2894,3246,424,108,252,6924,0.471335504885993
"President","AK","District 24",NA,3578,4709,574,118,311,9290,0.43176058887414
"President","AK","District 25",NA,3378,3816,521,121,291,8127,0.469557964970809
"President","AK","District 26",NA,3374,4548,536,108,339,8905,0.425902549861146
"President","AK","District 27",NA,3729,4085,489,139,341,8783,0.477220373688252
"President","AK","District 28",NA,4749,5423,696,143,416,11427,0.466869838773103
"President","AK","District 29",NA,2101,6347,463,136,347,9394,0.248697916666667
"President","AK","District 3",NA,1241,5403,518,98,353,7613,0.1867850692354
"President","AK","District 30",NA,1816,6194,502,128,310,8950,0.226716604244694
"President","AK","District 31",NA,3466,5617,500,252,347,10182,0.381591985026973
"President","AK","District 32",NA,2701,3764,519,177,311,7472,0.417788089713844
"President","AK","District 33",NA,5978,2732,513,306,405,9934,0.686337543053961
"President","AK","District 34",NA,4220,3955,609,229,418,9431,0.516207951070336
"President","AK","District 35",NA,3749,4105,450,278,460,9042,0.477336389101095
"President","AK","District 36",NA,2693,4460,585,173,353,8264,0.376485390745142
"President","AK","District 37",NA,2421,1938,302,92,309,5062,0.555402615278734
"President","AK","District 38",NA,2758,1143,273,263,658,5095,0.706998205588311
"President","AK","District 39",NA,3142,1405,277,101,714,5639,0.691005058280185
"President","AK","District 4",NA,4162,4070,585,237,467,9521,0.5055879494655
"President","AK","District 40",NA,2338,1377,213,93,589,4610,0.629340511440108
"President","AK","District 5",NA,3187,3683,512,178,346,7906,0.463901018922853
"President","AK","District 6",NA,2536,4929,471,125,399,8460,0.339718687206966
"President","AK","District 7",NA,1510,5935,431,102,316,8294,0.202820685023506
"President","AK","District 8",NA,1218,6126,364,88,277,8073,0.165849673202614
"President","AK","District 9",NA,1843,6100,510,135,366,8954,0.232028200931638
