State,County,D,G,L,N,O,R,Total,dPct,rPct,leanD,leanR,unaffiliatedPct,otherPct,dDRPct,rDRPct,CountyName,StateName,StateAbbr
02,02013,152,0,12,1071,43,211,1489.0,0.10208193418401612,0.1417058428475487,0.7203791469194313,1.388157894736842,0.7192746809939556,0.02887844190732035,0.418732782369146,0.581267217630854,Aleutians East,Alaska,AK
02,02016,577,7,21,1387,101,448,2541.0,0.2270759543486816,0.1763085399449036,1.2879464285714286,0.7764298093587522,0.5458480913026368,0.03974813065722157,0.5629268292682926,0.4370731707317073,Aleutians West,Alaska,AK
02,02020,35841,601,4283,111946,6787,57352,216810.0,0.1653106406531064,0.26452654397859876,0.6249302552657274,1.6001785664462487,0.516332272496656,0.0313039066463724,0.38458897127466657,0.6154110287253335,Anchorage,Alaska,AK
02,02050,2573,30,70,5851,534,1164,10222.0,0.25171199373899433,0.11387204069653688,2.2104810996563575,0.4523902059852313,0.5723928781060458,0.05224026609274115,0.6885202033716885,0.3114797966283115,Bethel,Alaska,AK
02,02060,96,2,6,501,26,192,823.0,0.1166464155528554,0.2332928311057108,0.5,2.0,0.6087484811664642,0.031591737545565005,0.3333333333333333,0.6666666666666666,Bristol Bay,Alaska,AK
02,02068,303,22,14,919,77,453,1788.0,0.16946308724832215,0.2533557046979866,0.6688741721854304,1.495049504950495,0.5139821029082774,0.043064876957494405,0.4007936507936508,0.5992063492063492,Denali,Alaska,AK
02,02070,651,10,26,1862,162,408,3119.0,0.20872074382815003,0.13081115742225072,1.5955882352941178,0.6267281105990783,0.5969862135299776,0.05193972427059955,0.6147308781869688,0.38526912181303113,Dillingham,Alaska,AK
02,02090,9744,244,708,37042,2390,20890,71018.0,0.13720465234165985,0.2941507786758287,0.4664432742939205,2.1438834154351394,0.5215860767692697,0.0336534399729646,0.3180779526016844,0.6819220473983156,Fairbanks North Star,Alaska,AK
02,02100,447,29,16,1270,92,444,2298.0,0.19451697127937337,0.19321148825065274,1.0067567567567568,0.9932885906040269,0.5526544821583986,0.04003481288076589,0.5016835016835017,0.4983164983164983,Haines,Alaska,AK
02,02105,845,23,25,1875,131,580,3479.0,0.24288588674906583,0.16671457315320495,1.456896551724138,0.6863905325443787,0.5389479735556194,0.03765449841908594,0.5929824561403508,0.4070175438596491,Hoonah-Angoon,Alaska,AK
